,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date,daily fluc
0,0,"@mit_nano @AMD A true honor and privilege to be part of @mit_nano’s mission training and educating the future leaders in semiconductors and nanotech.  Excited for all the future discoveries coming from @mit’s great students, faculty and researchers!",89,2,2022-04-10 16:34:51+00:00,2022-04-10,-4.326235482030072
6,6,Excited to soon welcome the @XilinxInc team to the @amd family next week!!!  The best is yet to come….. 😁 https://t.co/hp48sli1aX,1417,173,2022-02-10 14:02:26+00:00,2022-02-10,-6.7831648480156215
7,7,"Happy Lunar New Year to all our @AMD friends and families around the world.  Wishing everyone a very happy, healthy and prosperous year of the Tiger! https://t.co/mhmvrS3pzq",1962,175,2022-01-31 11:38:33+00:00,2022-01-31,8.039071591928026
8,8,Thanks to all who joined our #AMD2022 Product Premiere.  Look forward to a lot more to come for @AMDRyzen @Radeon this year! https://t.co/aoZtgKX3pe,2553,214,2022-01-05 13:25:27+00:00,2022-01-05,-4.800084456399379
9,9,Happy New Year and welcome to 2022!  We are kicking off the year with lots of new tech - hope you will join us for our #AMD2022 Product Premiere on January 4th at 7am PT: https://t.co/ixOLhxjkuM https://t.co/DT0pXHiLXw,3151,452,2022-01-03 14:00:28+00:00,2022-01-03,-4.800084456399379
15,15,Proud to see Azure announce DCasv5/ECasv5 confidential VMs powered by 3rd Gen @AMDServer #EPYC with Secure Encrypted Virtualization-Secure Nested Paging (SEV-SNP) to further protect data #ConfidentialComputing. https://t.co/Xs07RdO74v,363,53,2021-11-23 14:26:53+00:00,2021-11-23,-5.18980409738804
16,16,Proud to introduce our 3rd Gen @AMDServer #EPYC “Milan-X” and  @AMDInstinct MI-200 family of accelerators today!  We are all about building the best 😀 https://t.co/lGcjZoUxxX,2880,301,2021-11-08 19:02:05+00:00,2021-11-08,5.681324806553989
23,23,@emilychangtv @AMD Thanks Emily!  Great catching up with you,97,2,2021-07-29 12:15:37+00:00,2021-07-29,7.411339477191237
24,24,Enjoyed being on @SquawkStreet this morning with @jimcramer @davidfaber @carlquintanilla.  So proud of Team @amd for the strong execution and great Q2 results!  https://t.co/3gPXC92EfU,1166,133,2021-07-28 14:17:32+00:00,2021-07-28,7.411339477191237
45,45,"Thanks to everyone who tuned in for my @CES keynote today.  Special thanks to @panos_panay, @EnriqueJLores, @YuanqingYang, @TheSwah, @LewisHamilton and Toto Wolff who joined me virtually to discuss the exciting work we’re doing together.  Amazing year ahead! #CES2021 https://t.co/dpNoZOI7V9",2052,191,2021-01-12 17:57:51+00:00,2021-01-12,-4.304809960928601
46,46,"Thrilled to be part of the first-ever all-digital @CES.  So much to share together with our @AMD friends and partners. Please join me tomorrow, Jan 12 at 11am eastern at #CES2021 https://t.co/Nxdyq70Eru",3494,410,2021-01-11 14:01:19+00:00,2021-01-11,-4.304809960928601
56,56,"Wallace, thank you for your partnership and we look forwards to lots of pics on the great @maingear builds! https://t.co/3zYtuwE3ZM",1878,80,2020-11-09 18:14:53+00:00,2020-11-09,-5.923922509755419
70,70,Congrats @Xbox @XboxP3 - incredible showcase today.  Loved seeing @Radeon RDNA2 + @AMDRyzen in action during #XboxGamesShowcase https://t.co/ddzzJTwog7,2436,268,2020-07-23 22:34:22+00:00,2020-07-23,10.772157970974682
