,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date,daily fluc
3,3,"RT @ThomasOrTK: With Media CDN, we’re using the same infrastructure that serves YouTube content across 200+ countries and territories to he…",0,65,2022-04-26 06:47:49+00:00,2022-04-26,-4.581548020607318
4,4,"Proud of the progress we've made to help build a carbon-free future, including supporting our partners as they address climate change and building products that make it easier for people to make sustainable choices. #EarthDay 
https://t.co/ssLGCAFFkp",1403,133,2022-04-22 07:18:15+00:00,2022-04-22,-4.044378221649481
10,10,💯! https://t.co/HWnmFo64uH,4315,293,2022-04-06 16:54:13+00:00,2022-04-06,-2.997990515688953
39,39,RT @nealmohan: Excited about all the new products we’ll be rolling out on @YouTube in 2022. Here’s a sneak peek 🧵 at some things we have in…,0,67,2022-02-11 00:54:45+00:00,2022-02-11,-2.463842257900817
40,40,"As we celebrate Black History Month, Google is proud to support HBCUs with new investments for scholarships, faculty programs + more. We're also supporting Black small businesses and entrepreneurs, and amplifying Black music, art, and culture.  https://t.co/0d0azup7X4",1287,98,2022-02-09 16:35:02+00:00,2022-02-09,-2.463842257900817
45,45,"Over the last 5 years, Googlers and @Googleorg have given more than $2 billion to nonprofits around the world, and Googlers have volunteered 160 years of time to causes they care about. Looking forward to seeing the impact they'll have in 2022! 
https://t.co/qiCQqd9vuI",1467,109,2022-02-02 14:07:01+00:00,2022-02-02,9.151728617888356
46,46,"Happy Year of the Tiger - wishing everyone good health, strength, and happiness! (And check out ""Lunar New Year"" on Google Search for a festive surprise:) 🐯 https://t.co/GEipfiiAFK",4217,318,2022-02-01 05:18:34+00:00,2022-02-01,9.151728617888356
50,50,"We can learn a lot about our environment just by listening to the birds. New #GoogleAI approaches can help isolate and identify birdsongs, helping ecologists better understand food systems and forest health. 🐦 
https://t.co/Va9kjPTHRj",1772,173,2022-01-24 19:20:53+00:00,2022-01-24,-3.4908205845803786
57,57,"Though we can't be at #CES2022 IRL, excited to launch new features to help devices work better together: quickly set up, (un)lock devices, and get more done across Android &amp; Chrome. Fast Pair, Nearby Share &amp; more also coming to Windows PCs for the 1st time https://t.co/ou2dBzD7Q6",1996,192,2022-01-05 18:26:10+00:00,2022-01-05,-2.7615299798214865
81,81,"Always remember to unmute...thanks @KermitTheFrog  for joining us on @YouTube #DearEarth and chatting about some of our shared interests:) 🌎🏏🦗 
https://t.co/RCIUnPcltK https://t.co/cEd6BjkA6H",7746,884,2021-10-27 06:05:39+00:00,2021-10-27,3.4726792269094364
82,82,More about how our custom Google Tensor chip is powering better experiences like improved speech recognition and cameras that work for everyone on the new Pixel 6 &amp; Pixel 6 Pro https://t.co/iaPpm16gaF,1408,119,2021-10-27 05:27:49+00:00,2021-10-27,3.4726792269094364
99,99,"Cheers to 23 years! Thank you to all of you who inspire and motivate us to continue building a more helpful Google for everyone. Excited for what's to come...but first, time for some birthday cake! 🎂🎉 https://t.co/ul6cISij2b",18813,1289,2021-09-27 16:34:47+00:00,2021-09-27,-2.677074800497204
131,131,"RT @SusanWojcicki: #Tokyo2020 is here and we're proud to be giving you over 5,000 hours of content to watch on @YouTube thanks to our partn…",0,54,2021-07-27 02:08:07+00:00,2021-07-27,3.429638409225433
132,132,Can't wait to see everyone's #PermissiontoDance moves! 🕺💜 #Shorts https://t.co/7HOtJsaa8z,15491,4171,2021-07-23 22:50:58+00:00,2021-07-23,2.8195361526405893
133,133,Might need to work on my surfing skills 🌊 chrome://dino/ https://t.co/OqDn3RHLGg,13601,704,2021-07-23 05:38:24+00:00,2021-07-23,2.8195361526405893
134,134,"Our latest #GoogleDoodle game is the most complex one we’ve ever created, inspired by 16-bit Japanese video games of the 90's with more than 4 hours of gameplay...let the games begin!
https://t.co/upPzd3VWRN",3407,612,2021-07-23 04:49:39+00:00,2021-07-23,2.8195361526405893
135,135,@VeraJourova @Google Thank you VP Jourová for a great discussion. We look forward to continuing our work together on this important topic.,85,3,2021-07-23 04:46:33+00:00,2021-07-23,2.8195361526405893
136,136,RT @rincon_p: Only a fraction of proteins expressed by the human genome have had their structures determined. In work carried out by DeepMi…,0,128,2021-07-23 01:17:47+00:00,2021-07-23,2.8195361526405893
137,137,"The AlphaFold database shows the potential for AI to profoundly accelerate scientific progress, greatly expanding our accumulated knowledge of protein structures and the human proteome overnight. 
https://t.co/Q3ijgLPtwz https://t.co/lBqY19mr2w",2711,324,2021-07-22 15:19:50+00:00,2021-07-22,2.8195361526405893
189,189,"In honor of Asian Pacific American Heritage Month, today’s Doodle celebrates Japanese-American short story author Hisaye Yamamoto. We're committing $10M to support orgs &amp; efforts for the safety, dignity and equity for the Asian &amp; Pacific Islander community
https://t.co/Y1cIBgMDIF",1781,146,2021-05-04 14:19:05+00:00,2021-05-04,-2.870016759452409
190,190,RT @LorraineTwohill: I have played and watched basketball all my life. So proud to see this come to fruition. #WNBAChangemaker https://t.co…,0,55,2021-05-04 01:25:22+00:00,2021-05-04,-2.870016759452409
191,191,@PoppyHarlowCNN @Google Appreciate the conversation @PoppyHarlowCNN and thank you for continuing to bring awareness to the Covid crisis in India and beyond.,306,21,2021-04-28 21:01:40+00:00,2021-04-28,3.908908584626847
192,192,"Excited for this partnership with @Univision to help them innovate, inform, and engage Spanish-speaking audiences around the world (and Bienvenido a Twitter, Thomas!) https://t.co/f4mBP0QUqg",1255,111,2021-04-26 20:30:27+00:00,2021-04-26,3.908908584626847
193,193,"Devastated to see the worsening Covid crisis in India. Google &amp; Googlers are providing Rs 135 Crore in funding to @GiveIndia, @UNICEF for medical supplies, orgs supporting high-risk communities, and grants to help spread critical information.
https://t.co/OHJ79iEzZH",53066,10323,2021-04-26 03:53:54+00:00,2021-04-26,3.908908584626847
225,225,"Congrats @JeffBezos , best wishes for Day 1 and Earth fund. Congrats @ajassy on your new role!",20048,861,2021-02-02 21:33:20+00:00,2021-02-02,6.858091480519568
226,226,"RT @MKBHD: Hot take: Samsung has the most improved, most accurate portrait mode on any smartphone camera right now with the S21 https://t.c…",0,2236,2021-02-02 18:02:36+00:00,2021-02-02,6.858091480519568
227,227,@noam @Google @waze Thanks for your focus on customers and the amazing journey @noam and best wishes!,535,11,2021-02-02 17:56:14+00:00,2021-02-02,6.858091480519568
228,228,"Excited to partner with you + your team, @jimfarley98 to apply the best of Google Cloud, Android and Google AI to help @Ford transform its business and build automotive technologies that keep people safe &amp; connected on the road. https://t.co/SWkvUkM8lG",2486,252,2021-02-01 16:36:33+00:00,2021-02-01,3.042665431344971
232,232,"Welcome to my hometown @englandcricket wish was there for the game, should be a great series https://t.co/BNRDOQnnyO",100015,8365,2021-01-27 07:52:02+00:00,2021-01-27,-3.0098527573617084
233,233,"RT @SusanWojcicki: Today I updated the YouTube community on our priorities for 2021. Read more about our plans to grow the creator economy,…",0,103,2021-01-27 00:21:51+00:00,2021-01-27,-3.0098527573617084
234,234,"To help get vaccines to more people, Google is providing $150M to promote vaccine education &amp; equitable access, and opening up our spaces for vaccination sites as needed. On Search &amp; Maps, we’re making it easy to find when + where to get a vaccine. 
https://t.co/Iep0n0Dv47",7834,1007,2021-01-25 08:01:58+00:00,2021-01-25,-3.0098527573617084
235,235,"We applaud @POTUS's quick action on COVID relief, the Paris Climate Accord, and immigration reform. Google has supported action on these important issues &amp; we look forward to working with the new administration to help the US recover from the pandemic + grow our economy.",16278,881,2021-01-20 22:32:06+00:00,2021-01-20,5.161919620052191
236,236,"One of the greatest test series wins ever. Congrats India and well played Australia, what a series #INDvsAUS",302771,38288,2021-01-19 07:42:59+00:00,2021-01-19,5.161919620052191
248,248,RT @stshank: Google #Pixel5 Night Sight. Chamisa by moonlight. https://t.co/mI92kQHg2G,0,49,2020-10-30 03:27:53+00:00,2020-10-30,5.719267806920958
249,249,"RT @pbump: First spotted by @dansinker, this is just a remarkable correlation. 

Google searches for ""loss of taste"" and ""loss of smell"" ve…",0,880,2020-10-30 03:27:42+00:00,2020-10-30,5.719267806920958
251,251,@DavidMalpassWBG Thanks @DavidMalpassWBG @WorldBank for an engaging conversation on addressing the barriers to digital connectivity in emerging countries. Proud to partner with you to help bring the benefits of technology to more people around the world.,66,9,2020-10-19 19:22:01+00:00,2020-10-19,2.8419651508217347
254,254,"Such a nice moment, congrats to Paul Milgrom and Robert Wilson for their Nobel Prize! https://t.co/HeqffRWo5a",8027,722,2020-10-12 21:30:17+00:00,2020-10-12,3.963856750262207
266,266,"RT @ruth_franklin: According to Jewish tradition, a person who dies on Rosh Hashanah, which began tonight, is a tzaddik, a person of great…",0,57316,2020-09-19 01:32:02+00:00,2020-09-19,-2.8727368108509843
267,267,Saddened by the loss of one of our true heroes. Justice Ginsburg’s legacy will ensure that women will always have a seat at the table (and on our highest court) -- America is a better country because of her service.,7604,454,2020-09-19 01:17:27+00:00,2020-09-19,-2.8727368108509843
269,269,"As we kick off #HispanicHeritageMonth this week, we’re proud to support Latino-owned small businesses with new #GrowWithGoogle ""Paso a Paso” workshops and other free online training programs, as well as a $3M @Googleorg grant to @BeHIPGive's #PowerUpFund 
https://t.co/lIaaqbYxPS",868,83,2020-09-16 22:45:13+00:00,2020-09-16,-3.41948254889326
270,270,"Today at @greentech_fest, we shared more about Google’s next decade of climate action, including @Googleorg's €10M Impact Challenge which will fund bold ideas in support of Europe's goal to become the first carbon-neutral continent. https://t.co/F4p9S7MQZC",2404,270,2020-09-16 16:32:58+00:00,2020-09-16,-3.41948254889326
271,271,RT @peard33: Google aims to run on carbon-free energy by 2030 https://t.co/nGURKGdIiq,0,200,2020-09-15 01:00:37+00:00,2020-09-15,-3.41948254889326
278,278,"Excited that Android 11 starts rolling out today, with better ways to communicate, new ways to manage your devices &amp; media, and even more control over your data and privacy.  https://t.co/KSFYYPgajr",7276,1023,2020-09-08 17:05:41+00:00,2020-09-08,-3.180308398204923
279,279,"Working together, the @DeepMind and @GoogleMaps teams are using AI to improve the accuracy of real time ETAs in Maps by up to 50% in cities across the globe https://t.co/Zj3pWKZpRR",5370,515,2020-09-03 17:22:49+00:00,2020-09-03,-4.073815467236674
280,280,"As severe flooding continues to impact millions in South Asia, we’re expanding our AI-powered flood forecasting to include all of India &amp; adding coverage in Bangladesh, providing greater detail on timing + water depths in alerts in 9 new local languages.
https://t.co/G5i5zPtgAD",8354,1248,2020-09-01 16:22:58+00:00,2020-09-01,2.965865967075265
305,305,"As countries start to re-open, we’re dedicated to helping people and businesses recover faster - starting with new commitments in Europe, the Middle East and Africa to help 10M people learn new skills, find jobs and grow their businesses. 
https://t.co/thczhOC9dL",2591,302,2020-07-01 06:10:18+00:00,2020-07-01,2.6873582864222145
324,324,"Proud that @GoogleCloud is partnering with @Telefonica to launch a new cloud region in Spain and accelerate the digital transformation of Spanish businesses. Gracias @jmalvpal for the ongoing collaboration. 
https://t.co/GQdlTdwLO4",1869,405,2020-06-11 06:37:29+00:00,2020-06-11,-2.634662450541725
325,325,"Also excited that in #Android11 we're making improvements on Voice Access, an important accessibility experience https://t.co/K4ILlRiu4S",2895,393,2020-06-11 05:52:43+00:00,2020-06-11,-2.634662450541725
