,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date,daily fluc
0,0,Prime getting even better for members… :) https://t.co/ePn5zJEERx,330,31,2022-04-21 17:04:27+00:00,2022-04-21,-3.61945678686304
1,1,Another important step toward our mission of running Amazon’s global operations on 100% renewable energy by 2025 – 5 years ahead of our initial goal. https://t.co/rJX0Fd8RKv,238,28,2022-04-20 18:34:40+00:00,2022-04-20,-3.61945678686304
5,5,"Still plenty more to do, but proud of our incredible teammates who make this a special place to work… https://t.co/DDTH4fVQQA",429,66,2022-04-06 13:40:31+00:00,2022-04-06,-3.5977195177121835
6,6,"Excited for Project Kuiper to partner w/ @Arianespace, @ulalaunch &amp; @blueorigin to deploy 3K+ broadband satellites in the coming years. Scale of this agreement will help us bring fast, affordable broadband to customers in unserved &amp; underserved communities.https://t.co/ApkkFTCLm5",242,35,2022-04-05 14:53:23+00:00,2022-04-05,-3.5977195177121835
12,12,(2/2) Our latest partnership ($124M) will build 1K+ homes next to public transit. https://t.co/PXLsGritxj,124,15,2022-03-15 17:44:12+00:00,2022-03-15,3.627258633353825
13,13,"As we continue to increase our focus on the communities in which we have a substantial presence, we’re excited to invest further in affordable housing. To date, we've committed more than $1.2B to create/preserve 8,000+ homes and help ~18K people. (1/2)",252,32,2022-03-15 17:44:12+00:00,2022-03-15,3.627258633353825
14,14,Important milestone for the #ClimatePledge - 300+ companies have now joined Amazon in committing to reach net-zero carbon emissions by 2040. Innovation and collaboration are key to solving big global challenges…encouraging to have these companies on board.https://t.co/IcvDZsvVIZ,159,36,2022-03-14 14:24:21+00:00,2022-03-14,3.627258633353825
15,15,Appreciative of our incredible women leaders and builders. Our teams are stronger and products are better when they include diverse perspectives and experiences. We’re committed to supporting women and their careers here at Amazon. #InternationalWomensDay #IWD2022,311,39,2022-03-08 15:01:12+00:00,2022-03-08,-3.2587806161241684
16,16,"Good luck to Garfield HS Girls Basketball team in WA State Finals tonight. What a year they’ve had! Same for Boys team, which finished 4th in State tournament + lost only 1 game all year. Impressive to watch hard work/commitment all year by these athletes. https://t.co/bcxrLV5nf1 https://t.co/3UjzJWxgPT",95,7,2022-03-06 02:04:32+00:00,2022-03-06,-2.7930055660467468
17,17,"(2/2) We’re supporting humanitarian relief NGOs on the ground with cash donations from Amazon and our employees, logistics to get supplies to people needing them, and cyber security assistance to companies and governments.",769,70,2022-03-03 00:59:23+00:00,2022-03-03,-3.0347307346969887
18,18,"The situation in Ukraine is deeply concerning, and gets more so each day. Amazon stands with the people of Ukraine, and will continue to help. (1/2)",1788,187,2022-03-03 00:59:23+00:00,2022-03-03,-3.0347307346969887
