,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date,daily fluc
28,28,@JackieIreneB @axios @GM Thank you for tuning in! I appreciate the kind words.,6,0,2022-04-07 13:36:46+00:00,2022-04-07,-4.553896865901241
29,29,@bykaleahall And it stayed in my family for years! I have many fond memories with that classic red @Chevrolet Chevette.,5,0,2022-04-07 13:31:32+00:00,2022-04-07,-4.553896865901241
30,30,It was great to be a part of the #ElectricEverything conversation. Thank you @mikeallen and @Axios for having me. #WhatsNextSummit https://t.co/YDdjyuZr8N,57,11,2022-04-07 13:29:03+00:00,2022-04-07,-4.553896865901241
31,31,I couldn’t be more confident about the future of this collaboration and the positive impacts to come. Thank you to the teams from both companies for making this happen. https://t.co/P4UuJLbqLF,48,10,2022-04-05 11:35:56+00:00,2022-04-05,-4.344221340946475
32,32,"Working together with @Honda, we’ll put people around the world into #EVs faster than either company could do on its own, in the most popular segments, with great quality, at a high volume.",53,10,2022-04-05 11:35:55+00:00,2022-04-05,-4.344221340946475
33,33,"This collaboration is a perfect example of how our vision of creating an all-electric future for everyone is leading us to leverage GM’s amazing technology, like Ultium, to make an even bigger impact.",30,8,2022-04-05 11:35:55+00:00,2022-04-05,-4.344221340946475
34,34,"Together, we are working to enable global production of millions of EVs starting in 2027 – beyond GM’s current global capacity target of 2 million EVs by 2025.",32,7,2022-04-05 11:35:55+00:00,2022-04-05,-4.344221340946475
35,35,"The newest @GM + @Honda project will share our best technology, design, and sourcing strategies to deliver affordable &amp; desirable #EVs globally. We’re targeting the world’s most popular vehicle segments, including key markets in North America, South America and China.",37,7,2022-04-05 11:35:54+00:00,2022-04-05,-4.344221340946475
36,36,"Today @GM is announcing the next chapter in our collaboration with @Honda. Continuing GM’s mission to put everyone in an EV, we’re working together to make #ElectricVehicles more affordable and accessible using next-generation Ultium technology as the foundation.",315,43,2022-04-05 11:35:54+00:00,2022-04-05,-4.344221340946475
37,37,@2000Z28 Looks like a great time! Thank you for your work on this incredible vehicle.,20,2,2022-03-29 14:44:16+00:00,2022-03-29,5.083976510564359
39,39,"@2000Z28 @GM @YouTube Agreed! The team has so much to be proud of, and I can’t wait for everyone to get this inside look at the HUMMER EV.",14,2,2022-03-16 21:02:39+00:00,2022-03-16,4.202285244828929
40,40,"RT @GMC: In just over two years, a dedicated team of GM employees changed the automotive world forever. “REVOLUTION: GMC HUMMER EV,” a full…",0,52,2022-03-16 21:00:47+00:00,2022-03-16,4.202285244828929
41,41,"Great discussion about how we are transforming our business to deliver a more sustainable and inclusive future. At @GM, we have the right team and technology to make it happen. https://t.co/obNyNEG6jo",35,4,2022-03-14 14:25:35+00:00,2022-03-14,4.202285244828929
45,45,"Replacing Steve is Shilpan Amin, current @GM VP, Global Purchasing and Supply Chain. His extensive global engineering background and experience leading GM purchasing and supply chain uniquely position him for this role. Congrats, Shilpan!  https://t.co/Kiix6Rn7RX",25,1,2022-02-24 16:10:59+00:00,2022-02-24,-4.483923406557022
46,46,"Please join me in wishing Steve all the best as he focuses on @projectmitchel, whose mission is to improve global road safety and end distracted driving and all associated traffic deaths and injuries. More on this important work here: https://t.co/wJjK2qBKhA",36,1,2022-02-24 16:10:59+00:00,2022-02-24,-4.483923406557022
47,47,"Today we announced our very own Steve Kiefer is retiring after 40 years in the industry. Steve has been a valued member and major contributor to our @GM leadership team. Thank you, Steve, and congratulations on your retirement.",110,2,2022-02-24 16:10:59+00:00,2022-02-24,-4.483923406557022
52,52,"It’s an exciting time for @GM. We have an incredible team that continues to move fast and exceed expectations, and we are very optimistic about what’s ahead. https://t.co/9as3i8JKe6",172,16,2022-02-02 21:16:37+00:00,2022-02-02,-4.300269781873278
60,60,Tomorrow during @CES I’ll share the latest about how we’re delivering on @GM’s vision. I can’t wait for you to hear more. Join me at 9 a.m. PST/noon EST: https://t.co/WinvaLYYOb #CES2022,214,32,2022-01-04 16:44:21+00:00,2022-01-04,5.465337559195649
62,62,"Cheers to another exciting year with the best team around. There was so much accomplished this year, showcasing the power of the @GM team. I hope everyone finds time to relax and recharge – and get ready for an electrifying 2022! https://t.co/YxzDO52Ry2",139,13,2021-12-16 19:02:11+00:00,2021-12-16,-6.53181639233158
63,63,"As business leaders, we must actively break down barriers and open up new pathways of opportunity for Black talent to succeed. The strides made by @OneTen coalition members, including @GM, to create equitable change is just the beginning. https://t.co/72IifJoiIQ https://t.co/qwi3UGkRBw",56,6,2021-12-16 17:34:20+00:00,2021-12-16,-6.53181639233158
74,74,"I’m proud of the $GM team for delivering Q3 results that will help drive a decade of unprecedented growth as we transform from automaker to platform innovator. We're energized by our bold vision, and I’m optimistic about the opportunities ahead. https://t.co/1tf4UDKFgh",107,11,2021-10-27 15:03:57+00:00,2021-10-27,-4.633003843789108
94,94,"Thanks for having me today, @Lebeaucarnews, to discuss @GM’s record results for Q2 and a very strong first half of the year. I look forward to sharing more about our exciting #EV product portfolio in the coming months. https://t.co/aeVGu4ThUU",67,8,2021-08-04 19:38:06+00:00,2021-08-04,-6.031247155291974
95,95,"I want to thank our employees and the extended @GM team, including our suppliers and dealers, for helping us deliver such consistently strong results. Everyone continues to demonstrate remarkable resiliency and adaptability in a rapidly changing environment. https://t.co/dC9OYuxz4o",200,54,2021-08-04 13:39:20+00:00,2021-08-04,-6.031247155291974
98,98,"We’re all on this journey toward a better future together. Thank you, @OutsideInPod, for having me on to talk about why we include all perspectives in our decisions as @GM leads the industry to an #AllElectricFuture. https://t.co/l8LQlVzjqp",73,13,2021-07-08 13:17:03+00:00,2021-07-08,4.80932863074206
113,113,"The @BizRoundtable’s #MoveTheNeedle CEO Challenge shows how we as business leaders can do our part by encouraging our employees to get vaccinated. I was nominated by Ed Bastian, CEO of @Delta, and now I challenge Jim Loree to share how @StanleyBlkDeckr is helping move the needle. https://t.co/bXg6GusTkh",79,12,2021-05-27 18:42:58+00:00,2021-05-27,4.341397022870019
114,114,"This alliance brings together many innovations from @LockheedMartin and @GM, drawing on our strong legacies of engineering, performance, and reliability. These next-generation lunar rovers are just the beginning. We look forward to working together to build a better tomorrow. https://t.co/njyuXqk85d",89,13,2021-05-27 17:06:29+00:00,2021-05-27,4.341397022870019
115,115,"Tomorrow marks one year since George Floyd was murdered. Ahead of a day of remembrance and respect, we reflect on how a moment sparked a movement, the progress we have made, and the reality of how much work remains. https://t.co/3aen8WwHMH",100,11,2021-05-25 00:34:24+00:00,2021-05-25,4.341397022870019
131,131,"As we celebrate #IWD2021 today, this year’s theme of #ChooseToChallenge is especially relevant. Challenge can drive powerful change, and at @GM, we're committed to a culture of growing, winning and leading. https://t.co/qwwBiw3GyR",91,11,2021-03-08 14:02:44+00:00,2021-03-08,5.235954012431954
142,142,"@satyanadella @Cruise @GM @satyanadella, so glad to have you and the entire @Microsoft team join @GM and @Cruise on our journey toward an all-electric, self-driving future.",41,5,2021-01-19 17:58:32+00:00,2021-01-19,6.695805557308288
143,143,"In the words of Dr. Martin Luther King Jr., life’s most urgent question is “what are you doing for others?” Today and every day, we honor his legacy by committing to action. United together, we are capable of incredible change. #MLKDay",170,31,2021-01-18 15:06:52+00:00,2021-01-18,6.695805557308288
144,144,"Thrilled to partner with another iconic American company and global leader of express distribution to build a smarter, more sustainable future for the industry. https://t.co/uzUlQ9FHHG",199,36,2021-01-13 17:51:40+00:00,2021-01-13,4.6828754735658285
145,145,"As part of advancing a safer world, @GM is donating $1M to @KhanAcademy, one of the world’s leaders in online learning. Everyone should be provided the tools to be set up for success, and this will further Khan Academy’s work in bringing best-in-class education to all. https://t.co/LYYpa9juj0",546,53,2021-01-12 19:59:45+00:00,2021-01-12,7.61005852919836
146,146,"We are all in on electrification, and our commitment to create a world with zero crashes, zero emissions and zero congestion. The inflection point for our company, and our society, has arrived. Now the question is – are you in? #GMExhibitZero https://t.co/JWWmly8F9s https://t.co/dnPOBt7X39",638,151,2021-01-12 18:54:17+00:00,2021-01-12,7.61005852919836
148,148,"The peaceful transition of power is a cornerstone of American democracy, and regardless of politics the violence at the U.S. Capitol does not reflect who we are as a nation. It’s imperative that we come together as a country and reinforce the values and ideals that unite us.",885,155,2021-01-06 23:09:05+00:00,2021-01-06,4.677574458226097
155,155,"Congratulations, @chaseelliott! 👏👏 #TeamChevy https://t.co/QsYUgHgqb2",110,13,2020-11-09 21:49:22+00:00,2020-11-09,4.258156586957007
156,156,Congratulations to @JimmieJohnson as he retires with the honorable legacy of 7-time NASCAR Cup series champion. Thank you for making our teams at @GM and @Chevrolet so proud. https://t.co/jaShzaO2qS,90,7,2020-11-09 21:19:42+00:00,2020-11-09,4.258156586957007
159,159,"@fatma_samoura @GM Thank you, @Fatma_Samoura. It’s an honor to be inducted alongside both you and @GinniRometty. Congratulations on the well-deserved recognition for your leadership.",11,1,2020-10-24 13:58:14+00:00,2020-10-24,-4.250764061297863
160,160,"Thank you – I’m honored to be included! Very grateful for the work @IWFglobal does for women leadership, and congratulations to @Fatma_Samoura and @GinniRometty on their achievements. https://t.co/35zgVEpSpt",98,6,2020-10-24 13:56:07+00:00,2020-10-24,-4.250764061297863
162,162,Humbled to be included among this list of leading women who are working to make the world a better place. A reminder for young girls: you can be and do anything you set your mind to! https://t.co/aH8BioFkhb,267,32,2020-10-19 17:12:53+00:00,2020-10-19,4.811717436952034
166,166,I join the nation in mourning the passing of Justice Ginsburg. She was an incredible trailblazer who fought to the end. She showed us that all women belong in any industry. My condolences are with her family - we will continue her work for equality and justice for all. #RIPRBG,351,53,2020-09-19 13:00:14+00:00,2020-09-19,-6.040056667595728
167,167,"We're working to put everyone in an #EV, including in pickup trucks and semi-trucks. Working with like-minded innovators will help us accelerate EV development, production, consumer adoption – and ultimately reach an all-electric future. https://t.co/ZJSguOXU6F",346,92,2020-09-08 11:36:08+00:00,2020-09-08,7.785031819319643
177,177,Today I stood alongside the mayor of Detroit and local leaders and made a commitment to our hometown and to the nation: we will no longer allow our company the indulgence of asking “why.”  We as a company will focus on “what.” What can we do? https://t.co/DNsOY7vuqQ,296,66,2020-06-03 20:39:16+00:00,2020-06-03,5.149344834327185
