,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date,daily fluc
0,0,"RT @judsonalthoff: In Q3, @Microsoft partnered with customers to help them innovate amid uncertainty. Through supply chain disruptions and…",0,54,2022-04-25 18:52:05+00:00,2022-04-25,3.9700233628996218
1,1,"Every day, we must do our part to protect our planet from the impacts of climate change, and technology has an important role to play. https://t.co/nXjoCNzlVv",772,95,2022-04-22 16:11:19+00:00,2022-04-22,-2.926602604021955
2,2,"As @KraftHeinzCo’s preferred cloud platform, we’ll apply the power of Azure to accelerate the company’s digital transformation and build a more resilient supply chain. https://t.co/d3J16ZYWiR",245,36,2022-04-21 16:49:59+00:00,2022-04-21,-2.926602604021955
4,4,"We’re removing limits on how and where you work with Windows 11 and Windows 365. Together, they bring the power of Azure computing to Windows computers. https://t.co/hSkSOuoG68",989,173,2022-04-05 16:36:23+00:00,2022-04-05,-3.366200196566149
5,5,"RT @Lindsay_Rae_M: ""The one thing that is constant is that every one of us has a family, regardless of whether it is a family tree that con…",0,17,2022-04-05 01:10:14+00:00,2022-04-05,-3.366200196566149
14,14,"Today, we’re introducing new capabilities to help customers protect identities, devices, applications, and data holistically across clouds. https://t.co/d7ipK8459t",625,81,2022-02-23 15:52:08+00:00,2022-02-23,3.988142584106713
24,24,"Thank you to my colleagues across the globe who continue to volunteer and give to the causes and communities they care about. Giving is core to our culture, and you are exemplifying this every day. https://t.co/GjGEa6LXYl",1178,108,2022-01-26 19:29:18+00:00,2022-01-26,3.683463502092077
25,25,RT @panos_panay: The last two years have had a profound impact on us all. As the way we live has shifted so too has the Windows PC adapted…,0,166,2022-01-26 15:28:57+00:00,2022-01-26,3.683463502092077
26,26,"RT @judsonalthoff: As we navigate this new era of the pandemic, our customers continue to accelerate their digital transformation journeys…",0,44,2022-01-24 19:10:53+00:00,2022-01-24,-4.428733328886692
27,27,"Today, we're expanding our partnership with @FedEx, bringing together their data and insights with the Microsoft Cloud to provide merchants with better visibility into their supply chains and offer customers more integrated and efficient ways to shop. https://t.co/nmDkuwXtsH",2014,244,2022-01-24 15:25:05+00:00,2022-01-24,-4.428733328886692
30,30,"For the last two years, frontline workers have been key to keeping our society and economy functioning in the midst of historic constraints. Our new Work Trend Index report sheds light on their experiences and the role technology can play to empower them. https://t.co/WLZhXT4wVM",509,92,2022-01-12 15:14:17+00:00,2022-01-12,-2.437192132971633
32,32,"The Windows 11 devices being introduced by our partners at #CES2022 this week are delivering new innovations in security, sustainability, and more. https://t.co/EJNahzXq4T",686,78,2022-01-05 19:41:20+00:00,2022-01-05,-2.913867324921249
35,35,"In a time of great constraints, people continue to use technology to help the world overcome. I am inspired by what you have done in 2021, and optimistic that you will continue to drive change in the chapter ahead. https://t.co/7WS1sGLjRv",1410,289,2021-12-13 20:49:47+00:00,2021-12-13,-3.532148914269062
41,41,Our new datacenter region in Belgium will help organizations across the public and private sectors accelerate their digital transformation with the Microsoft Cloud. https://t.co/g14koQJtVZ,777,133,2021-11-23 19:38:44+00:00,2021-11-23,-2.351927293644318
59,59,"The future of development is cloud-native and infused with AI. At GitHub Universe, we’re introducing new capabilities to help developers build the next generation of software. https://t.co/XcfXAK39V9",1149,149,2021-10-27 18:42:14+00:00,2021-10-27,3.3977461885787985
60,60,"Sustainability is an existential priority for our society and for every business, and we’re creating an entirely new business process category to help organizations address this very urgent need. https://t.co/ftGAVijh2z",429,75,2021-10-27 14:53:22+00:00,2021-10-27,3.3977461885787985
61,61,"RT @judsonalthoff: In my conversations with Microsoft customers, it's clear that embracing continuous innovation is key to overcoming busin…",0,35,2021-10-25 19:53:26+00:00,2021-10-25,3.3977461885787985
71,71,"RT @scottgu: Comprehensive data management is critical for businesses worldwide. I am excited to announce the GA of Azure Purview, which he…",0,42,2021-09-28 16:45:53+00:00,2021-09-28,-2.6942212923939834
76,76,"@kaifulee Congratulations @kaifulee and @ChenQiufan on your new book, which presents a nuanced vision for the future of AI and what it could mean for all of us.",80,7,2021-09-20 16:26:21+00:00,2021-09-20,-2.614112416836789
93,93,"Thanks to our partnership with @HPE, we’re bringing the power of Azure to the International Space Station, ensuring astronauts can analyze data from space in minutes. https://t.co/SWprss8YrL",1388,259,2021-08-18 15:52:07+00:00,2021-08-18,3.035267163674993
151,151,"Today, we are expanding our commitment to use our resources and technology to help bridge the disability divide and help make a difference in the lives of the more than 1 billion people with disabilities around the world. https://t.co/2PmIU1gshx",773,159,2021-04-28 15:06:43+00:00,2021-04-28,-2.640890116269412
152,152,"RT @judsonalthoff: In Q3, we saw customers across industries embracing @Microsoft cloud technology to deliver more intuitive, data-driven e…",0,34,2021-04-26 19:01:23+00:00,2021-04-26,-2.640890116269412
153,153,"I am heartbroken by the current situation in India. I’m grateful the U.S. government is mobilizing to help. Microsoft will continue to use its voice, resources, and technology to aid relief efforts, and support the purchase of critical oxygen concentration devices.",60135,8884,2021-04-26 02:02:17+00:00,2021-04-26,-2.640890116269412
207,207,"Announcing new devices and tools to help keep students engaged and improve outcomes, anytime and anywhere learning happens. https://t.co/DVXakxT6RL",986,133,2021-01-19 21:39:14+00:00,2021-01-19,3.135407053755368
208,208,Last hour of the last day of the last test. Test series for the ages. Congrats to Team India!,85739,6212,2021-01-19 15:20:31+00:00,2021-01-19,3.135407053755368
209,209,"Together with @Cruise and @GM, we will apply the power of Azure to make autonomous transportation mainstream. https://t.co/KZIaY1LvSw",1289,203,2021-01-19 14:19:57+00:00,2021-01-19,3.135407053755368
