,Date,Open,High,Low,Close,average H/L,daily fluc
14,2022-04-11,98.5999984741211,98.66999816894531,95.94000244140625,97.37000274658203,97.30500030517578,-4.3262354820300715
21,2022-03-31,116.30999755859375,116.37999725341797,109.0199966430664,109.33999633789062,112.69999694824219,-7.721281026158278
32,2022-03-16,111.5999984741211,115.41999816894531,109.88999938964844,115.37000274658203,112.65499877929688,6.539622650902865
45,2022-02-25,117.16000366210938,121.2300033569336,116.04000091552734,121.05999755859375,118.63500213623047,7.255222386399551
54,2022-02-11,126.13999938964844,127.16999816894531,111.80999755859375,113.18000030517578,119.48999786376953,-6.7831648480156215
61,2022-02-02,129.88999938964844,130.05999755859375,120.63999938964844,122.76000213623047,125.3499984741211,9.004735406075582
63,2022-01-31,107.93000030517578,114.30999755859375,106.9000015258789,114.25,110.60499954223633,8.039071591928026
64,2022-01-28,101.55000305175781,105.4000015258789,99.3499984741211,105.23999786376953,102.375,-4.629932613708498
65,2022-01-27,111.95999908447266,112.75,101.94000244140625,102.5999984741211,107.34500122070312,-4.916071760978391
68,2022-01-24,115.4000015258789,116.7699966430664,107.5,116.52999877929688,112.1349983215332,-7.863275831562799
70,2022-01-20,126.04000091552734,128.50999450683594,121.41000366210938,121.88999938964844,124.95999908447266,-4.825017277197374
76,2022-01-11,133.4499969482422,138.99000549316406,131.58999633789062,137.30999755859375,135.29000091552734,5.100021378307562
80,2022-01-05,142.82000732421875,143.75999450683594,135.2899932861328,136.14999389648438,139.52499389648438,-4.800084456399379
94,2021-12-15,135.11000061035156,146.69000244140625,133.80999755859375,146.5,140.25,4.726697974604344
101,2021-12-06,141.13999938964844,141.30999755859375,134.1999969482422,139.05999755859375,137.75499725341797,-6.001368553526176
109,2021-11-23,150.41000366210938,152.66000366210938,145.3000030517578,149.9199981689453,148.9800033569336,-5.1898040973880395
118,2021-11-10,143.92999267578125,146.3000030517578,138.52000427246094,139.8699951171875,142.41000366210938,-4.914197199655046
120,2021-11-08,137.6999969482422,153.60000610351562,137.6999969482422,150.16000366210938,145.6500015258789,5.681324806553989
122,2021-11-04,132.00999450683594,139.0,130.77000427246094,137.5,134.88500213623047,4.809820473139825
187,2021-08-04,114.36000061035156,122.48999786376953,114.16000366210938,118.7699966430664,118.32500076293945,6.354770236796514
191,2021-07-29,96.58000183105469,105.73999786376953,96.58000183105469,102.94999694824219,101.15999984741211,7.411339477191237
206,2021-07-08,87.86000061035156,90.33999633789062,87.44999694824219,89.73999786376953,88.8949966430664,-4.285333358744115
300,2021-02-23,83.4000015258789,85.11000061035156,79.36000061035156,84.73999786376953,82.23500061035156,-5.210074810805221
318,2021-01-27,91.0999984741211,91.87999725341797,86.22000122070312,88.83999633789062,89.04999923706055,-5.941378447667411
327,2021-01-13,93.01000213623047,93.88999938964844,90.83999633789062,91.77999877929688,92.36499786376953,-4.304809960928601
370,2020-11-10,81.93000030517578,82.12999725341797,77.62999725341797,77.98999786376953,79.87999725341797,-5.923922509755419
374,2020-11-04,80.25,81.8499984741211,78.97000122070312,81.3499984741211,80.40999984741211,6.025843467338499
416,2020-09-04,81.44999694824219,84.38999938964844,76.33000183105469,82.01000213623047,80.36000061035156,-5.492177156284239
417,2020-09-03,87.83999633789062,88.47000122070312,81.58999633789062,82.54000091552734,85.02999877929688,-7.081192941855319
434,2020-08-11,80.70999908447266,80.70999908447266,76.0999984741211,76.87999725341797,78.40499877929688,-4.663184363934725
439,2020-08-04,78.02999877929688,85.80999755859375,77.98999786376953,85.04000091552734,81.89999771118164,5.296990224408971
443,2020-07-29,75.5,77.19000244140625,73.9000015258789,76.08999633789062,75.54500198364258,10.42976487669205
446,2020-07-24,64.18000030517578,69.94000244140625,64.05000305175781,69.4000015258789,66.99500274658203,10.772157970974682
457,2020-07-09,53.52000045776367,57.58000183105469,53.310001373291016,57.2599983215332,55.44500160217285,5.0691702126290705
463,2020-06-30,51.15999984741211,52.77000045776367,50.81999969482422,52.61000061035156,51.795000076293945,4.9544106945717425
476,2020-06-11,55.939998626708984,56.68000030517578,52.79999923706055,52.83000183105469,54.739999771118164,-5.645091188460183
477,2020-06-10,57.20000076293945,59.0,57.029998779296875,57.439998626708984,58.01499938964844,6.274041449875645
487,2020-05-27,53.27000045776367,53.279998779296875,49.09000015258789,52.7400016784668,51.18499946594238,-6.168655559802271
504,2020-05-01,51.06999969482422,51.95000076293945,49.09000015258789,49.880001068115234,50.52000045776367,-4.966138820967203
506,2020-04-29,54.529998779296875,54.86000061035156,52.7400016784668,53.65999984741211,53.80000114440918,-4.4829077008157086
512,2020-04-21,56.900001525878906,57.72999954223633,51.40999984741211,52.91999816894531,54.56999969482422,-4.664570382547694
517,2020-04-14,52.2400016784668,55.13999938964844,52.11000061035156,54.93000030517578,53.625,8.006043125902028
521,2020-04-07,48.959999084472656,49.650001525878906,46.68000030517578,47.560001373291016,48.165000915527344,5.117850788646172
522,2020-04-06,44.29999923706055,47.58000183105469,44.060001373291016,47.52000045776367,45.82000160217285,5.893231147289368
531,2020-03-24,44.040000915527344,46.810001373291016,43.9900016784668,46.220001220703125,45.400001525878906,11.726347410256155
539,2020-03-12,42.0,42.5,39.0,39.0099983215332,40.75,-9.212432233031642
542,2020-03-09,43.029998779296875,46.34000015258789,42.5099983215332,43.27000045776367,44.42499923706055,-7.717079268479921
547,2020-03-02,47.41999816894531,47.68000030517578,44.65999984741211,47.459999084472656,46.170000076293945,5.906637879317134
549,2020-02-27,45.380001068115234,46.2400016784668,42.209999084472656,44.0099983215332,44.22500038146973,-8.208800121740945
552,2020-02-24,48.18000030517578,50.279998779296875,47.4900016784668,49.119998931884766,48.885000228881836,-10.866987253332727
553,2020-02-21,56.709999084472656,56.79999923706055,52.88999938964844,53.279998779296875,54.84499931335449,-4.7581863875559405
560,2020-02-11,53.220001220703125,54.47999954223633,52.90999984741211,53.79999923706055,53.69499969482422,5.6468291271150495
569,2020-01-29,47.84000015258789,48.06999969482422,46.099998474121094,47.5099983215332,47.084999084472656,-6.1397388310600824
571,2020-01-27,48.45000076293945,49.790000915527344,47.900001525878906,49.2599983215332,48.845001220703125,-4.48768091139784
587,2020-01-02,46.86000061035156,49.25,46.630001068115234,49.099998474121094,47.94000053405762,5.351063439619663
684,2019-08-14,31.0,31.049999237060547,29.510000228881836,30.239999771118164,30.27999973297119,-6.6296628477445
688,2019-08-08,31.530000686645508,34.27000045776367,31.479999542236328,33.91999816894531,32.875,14.050300537260219
691,2019-08-05,28.260000228881836,28.489999771118164,27.649999618530273,27.989999771118164,28.06999969482422,-4.312256150256544
694,2019-07-31,32.08000183105469,32.29999923706055,30.299999237060547,30.450000762939453,31.299999237060547,-6.399519968697575
709,2019-07-10,33.560001373291016,34.029998779296875,33.36000061035156,33.790000915527344,33.69499969482422,6.494940989895248
730,2019-06-10,33.529998779296875,34.29999923706055,33.08000183105469,33.22999954223633,33.69000053405762,5.0023422015981645
732,2019-06-06,29.8700008392334,31.979999542236328,29.84000015258789,31.81999969482422,30.90999984741211,4.7441531944146575
739,2019-05-28,27.270000457763672,29.670000076293945,27.059999465942383,29.049999237060547,28.364999771118164,6.37539775622411
776,2019-04-03,28.020000457763672,29.950000762939453,27.8799991607666,29.020000457763672,28.914999961853027,9.34014103056402
786,2019-03-20,26.489999771118164,26.8799991607666,25.309999465942383,25.700000762939453,26.094999313354492,5.073482074782132
787,2019-03-19,23.600000381469727,26.079999923706055,23.59000015258789,26.0,24.835000038146973,6.450917720392257
819,2019-01-31,23.020000457763672,25.139999389648438,22.829999923706055,24.40999984741211,23.984999656677246,7.797751265965158
820,2019-01-30,21.489999771118164,23.1299991607666,21.3700008392334,23.09000015258789,22.25,12.829618533161803
833,2019-01-10,19.760000228881836,19.829999923706055,18.899999618530273,19.739999771118164,19.364999771118164,-6.697183019313114
836,2019-01-07,19.440000534057617,20.68000030517578,19.0,20.56999969482422,19.84000015258789,8.712329603221324
