,Date,Open,High,Low,Close,average H/L,daily fluc
6,2022-04-22,321.0199890136719,323.8399963378906,310.30999755859375,310.79998779296875,317.0749969482422,-2.686985493543359
8,2022-04-20,324.0299987792969,328.3800048828125,322.6199951171875,323.6700134277344,325.5,2.8517290200986034
10,2022-04-18,318.5199890136719,321.0,310.8299865722656,313.6000061035156,315.9149932861328,-2.4306284376868215
14,2022-04-11,335.1022037110354,336.41829224191207,323.89555195460196,326.29840087890625,330.15692209825704,-2.9725798206813314
23,2022-03-29,337.9935732053713,340.0474550213697,335.99951082657856,339.6785583496094,338.02348292397414,3.3281511681480858
30,2022-03-18,320.9144392388754,323.5167065882904,315.5703664159364,322.98828125,319.5435365021134,-3.289120866502626
31,2022-03-17,337.8938832447801,343.4373745393789,317.3849432083963,318.5514831542969,330.4111588738876,3.3993795037443153
45,2022-02-25,316.38790638092604,322.2105955316388,315.4507250188706,321.55255126953125,318.8306602752547,3.6077104663706727
46,2022-02-24,301.45240507464894,315.6401403148504,299.81725921670613,315.23138427734375,307.7286997657783,-3.156520360991344
53,2022-02-14,322.1208406514016,326.8966288256793,320.5056549058033,325.16180419921875,323.7011418657413,-3.412321595555523
54,2022-02-11,342.91891875139345,343.9558397352432,326.3183550958983,328.2027282714844,335.1370974155708,-2.7907461397983946
56,2022-02-09,350.58610204662733,355.4715490686846,350.47641278749217,354.4745178222656,352.9739809280884,3.2458981570745227
60,2022-02-03,344.25492142432404,350.8851726245095,342.95879307312146,344.52410888671875,346.92198284881545,-2.48034951669196
63,2022-01-31,343.975759247561,352.6499427385077,342.5201022352264,352.5302734375,347.58502248686705,4.029959722383358
68,2022-01-24,327.3253448398614,338.571856041546,318.1526756623051,337.99359130859375,328.3622658519256,-3.0397515509934525
69,2022-01-21,340.3764846978499,343.05847054418876,334.2546987276871,334.6335754394531,338.656584635938,-2.672006879652511
73,2022-01-14,355.9800416833261,358.3130911286695,348.68176571975215,352.3109436035156,353.49742842421085,-4.180849015215404
74,2022-01-13,377.0971309871767,378.1539815950478,359.6889752483993,360.2971496582031,368.9214784217236,-2.6340012277852543
75,2022-01-12,376.7282346548451,382.3016352584795,375.50187535882725,376.0701904296875,378.9017553086534,3.027221294043003
79,2022-01-06,382.55612166488555,390.02447330222896,373.67566378227383,375.9032287597656,381.8500685422514,-4.133221747435567
91,2021-12-20,388.71179203418365,389.25872904280834,381.39260220058907,383.64007568359375,385.3256656216987,-2.63591349921104
93,2021-12-16,410.77869848935615,411.35546786276063,396.8066159536516,398.37786865234375,404.0810419082061,9.351823302443062
277,2021-03-26,264.64197079860895,277.2683744752314,264.64197079860895,276.7459716796875,270.95517263692017,2.704979875557556
288,2021-03-11,256.27366810824236,264.2674207788156,256.27366810824236,262.5523681640625,260.270544443529,2.975542750064597
293,2021-03-04,249.2064063547232,250.9904627713718,241.65618695246306,243.4599609375,246.32332486191743,-2.7701652862306525
344,2020-12-17,259.114012047598,266.38310794766323,258.64249194345825,259.79180908203125,262.51279994556074,8.08273662161123
370,2020-11-10,234.38926594043545,235.3715770981442,231.4128643316883,234.4875030517578,233.39222071491625,-2.5591096890970055
371,2020-11-09,235.64663018717002,243.61317451793676,235.43052052679377,235.97079467773438,239.52184752236525,4.187411854789325
373,2020-11-05,229.2419395836798,231.94329514371464,228.30874702435244,229.85098266601562,230.12602108403354,2.907972016495197
379,2020-10-28,212.97488317940662,214.07506689754928,209.15369331313008,210.15565490722656,211.61438010533968,-2.7887369237782567
401,2020-09-28,214.3750950906147,219.07180022483203,213.6021027647831,217.98568725585938,216.33695149480758,3.924881494884569
403,2020-09-24,214.15981887230927,215.7058183857438,208.5629145331865,209.8055877685547,212.13436645946516,-7.689684563670706
466,2020-06-25,207.65537992361337,212.42267889583724,206.1930180931654,211.8669891357422,209.30784849450131,5.2684487459569995
468,2020-06-23,200.2168002698999,204.41865030091498,200.2168002698999,202.19586181640625,202.31772528540745,2.8496996176346823
473,2020-06-16,198.2572662946065,201.68894618400907,197.0483751728168,199.2711639404297,199.36866067841294,3.3950976723701842
476,2020-06-11,200.36306301559094,200.78226624546042,190.96495205303097,191.03318786621094,195.87360914924568,-3.575462620716341
493,2020-05-18,184.25756337206653,189.2685885745561,183.38989607609167,187.91346740722656,186.3292423253239,5.65519593333077
495,2020-05-14,174.21603906511535,175.49316603624382,170.55039070991546,175.4736785888672,173.02177837307966,-2.4567775442799866
496,2020-05-13,180.39693398140267,180.49443071242422,174.2647704235098,176.45831298828125,177.379600567967,-3.1383258413352544
506,2020-04-29,177.73546260778235,183.44842368128562,177.1407681745436,182.85372924804688,180.2945959279146,2.6931789176284804
512,2020-04-21,166.53379072613538,168.46410438958577,161.55201028024462,162.06871032714844,165.00805733491518,-2.9111190824431588
516,2020-04-15,169.9264287940085,169.93617251646663,164.652174141289,165.1981201171875,167.29417332887783,-2.863110701358984
519,2020-04-09,168.12470069082084,174.56901136163387,167.42591876671267,172.67648315429688,170.99746506417327,4.328516176875041
