,Date,Open,High,Low,Close,average H/L,daily fluc
0,2022-05-02,2448.02001953125,2493.360107421875,2367.5,2490.0,2430.4300537109375,-3.7018666717999693
1,2022-04-29,2596.97998046875,2615.219970703125,2432.5,2485.6298828125,2523.8599853515625,-11.826368475424687
2,2022-04-28,2843.56005859375,2918.75,2806.0,2891.929931640625,2862.375,3.062486690616417
6,2022-04-22,2965.0,2992.300048828125,2873.949951171875,2887.0,2933.125,-3.61945678686304
17,2022-04-06,3233.010009765625,3244.0,3145.090087890625,3175.1201171875,3194.5450439453125,-3.5977195177121835
31,2022-03-17,3052.81005859375,3149.969970703125,3042.800048828125,3144.780029296875,3096.385009765625,3.0398971907784844
32,2022-03-16,2970.0,3063.0,2947.070068359375,3062.080078125,3005.0350341796875,3.627258633353825
36,2022-03-10,2913.699951171875,2973.489990234375,2879.56005859375,2936.35009765625,2926.5250244140625,5.620980138098863
38,2022-03-08,2733.669921875,2813.989990234375,2671.449951171875,2720.2900390625,2742.719970703125,-3.2587806161241684
39,2022-03-07,2908.8701171875,2921.889892578125,2748.330078125,2749.06005859375,2835.1099853515625,-2.7930055660467468
40,2022-03-04,2943.179931640625,2957.0,2876.139892578125,2912.820068359375,2916.5699462890625,-3.0347307346969887
45,2022-02-25,3011.0,3079.800048828125,2984.27001953125,3075.77001953125,3032.0350341796875,4.104564971764679
59,2022-02-04,3112.1298828125,3224.0,3012.159912109375,3152.7900390625,3118.0799560546875,10.343071495893085
60,2022-02-03,2834.75,2884.949951171875,2766.659912109375,2776.909912109375,2825.804931640625,-7.027082039253385
63,2022-01-31,2895.0,3007.2099609375,2886.010009765625,2991.469970703125,2946.6099853515625,4.516585286459041
68,2022-01-24,2780.0,2898.89990234375,2707.0400390625,2890.8798828125,2802.969970703125,-4.325861725073887
69,2022-01-21,2999.0,3018.0,2841.409912109375,2852.860107421875,2929.7049560546875,-5.29511956301535
77,2022-01-10,3211.7099609375,3233.22998046875,3126.090087890625,3229.719970703125,3179.6600341796875,-2.844250917034663
100,2021-12-07,3492.0,3549.989990234375,3466.68994140625,3523.2900390625,3508.3399658203125,2.995626963466602
126,2021-10-29,3300.02001953125,3374.820068359375,3273.320068359375,3372.429931640625,3324.070068359375,-3.158920076930083
155,2021-09-20,3396.0,3419.0,3305.010009765625,3355.72998046875,3362.0050048828125,-3.2452477690831816
190,2021-07-30,3347.949951171875,3368.139892578125,3306.97998046875,3327.590087890625,3337.5599365234375,-7.520685773104763
208,2021-07-06,3530.110107421875,3685.47998046875,3529.0,3675.739990234375,3607.239990234375,3.8257859379728476
251,2021-05-04,3356.18994140625,3367.97998046875,3272.1298828125,3311.8701171875,3320.054931640625,-3.196221142183142
314,2021-02-02,3380.0,3427.739990234375,3361.1298828125,3380.0,3394.4349365234375,3.0914330694135517
323,2021-01-20,3181.989990234375,3279.800048828125,3175.0,3263.3798828125,3227.4000244140625,3.4257338379766855
370,2020-11-10,3095.02001953125,3114.0,3019.47998046875,3035.02001953125,3066.739990234375,-4.180995522055097
373,2020-11-05,3319.969970703125,3366.800048828125,3288.8798828125,3322.0,3327.8399658203125,4.246165764988574
374,2020-11-04,3159.989990234375,3244.85009765625,3139.72998046875,3241.159912109375,3192.2900390625,5.427785915064143
377,2020-10-30,3157.75,3167.0,3019.0,3036.14990234375,3093.0,-3.6636168970216043
391,2020-10-12,3349.93994140625,3496.239990234375,3339.550048828125,3442.929931640625,3417.89501953125,5.379677053249687
401,2020-09-28,3148.85009765625,3175.0400390625,3117.169921875,3174.050048828125,3146.10498046875,3.1418517155483716
405,2020-09-22,3033.840087890625,3133.989990234375,3000.199951171875,3128.989990234375,3067.094970703125,5.163551198461347
408,2020-09-17,3009.25,3029.429931640625,2972.550048828125,3008.72998046875,3000.989990234375,-4.143008446365304
412,2020-09-11,3208.68994140625,3217.340087890625,3083.97998046875,3116.219970703125,3150.6600341796875,-3.360507496670817
416,2020-09-04,3318.0,3381.5,3111.1298828125,3294.6201171875,3246.31494140625,-4.3993814710570955
417,2020-09-03,3485.0,3488.409912109375,3303.0,3368.0,3395.7049560546875,-3.5165810669983255
441,2020-07-31,3244.0,3246.820068359375,3151.0,3164.679931640625,3198.9100341796875,4.9339030401734485
445,2020-07-27,3062.0,3098.0,3015.77001953125,3055.2099609375,3056.885009765625,3.2804681893543908
450,2020-07-20,3000.199951171875,3201.360107421875,2994.02001953125,3196.840087890625,3097.6900634765625,3.7326420079503153
454,2020-07-14,3089.0,3127.3798828125,2950.0,3084.0,3038.68994140625,-5.228703949088908
461,2020-07-02,2912.010009765625,2955.56005859375,2871.10009765625,2890.300048828125,2913.330078125,3.144984178615684
462,2020-07-01,2757.989990234375,2895.0,2754.0,2878.699951171875,2824.5,3.7530367587543134
477,2020-06-10,2645.0,2722.35009765625,2626.260009765625,2647.449951171875,2674.3050537109375,3.8276784969965005
504,2020-05-01,2336.800048828125,2362.43994140625,2258.18994140625,2286.0400390625,2310.31494140625,-5.140209657774286
505,2020-04-30,2419.840087890625,2475.0,2396.010009765625,2474.0,2435.5050048828125,3.5968540533978466
515,2020-04-16,2346.0,2461.0,2335.0,2408.18994140625,2398.0,4.753435769543901
517,2020-04-14,2200.469970703125,2292.0,2186.2099609375,2283.320068359375,2239.10498046875,6.16903653242058
518,2020-04-13,2040.0,2180.0,2038.0,2168.8701171875,2109.0,3.6195595943448566
522,2020-04-06,1936.0,1998.52001953125,1930.02001953125,1997.5899658203125,1964.27001953125,2.9631936000843684
531,2020-03-24,1951.5,1955.0,1900.3399658203125,1940.0999755859375,1927.6699829101562,3.321539920547978
534,2020-03-19,1860.0,1945.0,1832.6500244140625,1880.9300537109375,1888.8250122070312,5.325009574766026
536,2020-03-17,1775.469970703125,1857.780029296875,1689.239990234375,1807.8399658203125,1773.510009765625,4.771554993514782
539,2020-03-12,1721.97998046875,1765.0,1675.0,1676.6099853515625,1720.0,-6.338997002134528
542,2020-03-09,1773.8599853515625,1862.77001953125,1761.2900390625,1800.6099853515625,1812.030029296875,-4.134778784228288
547,2020-03-02,1906.489990234375,1954.510009765625,1870.0,1953.949951171875,1912.2550048828125,3.340277463742214
548,2020-02-28,1814.6300048828125,1889.760009765625,1811.1300048828125,1883.75,1850.4450073242188,-4.066349247233703
549,2020-02-27,1934.3800048828125,1975.0,1882.760009765625,1884.300048828125,1928.8800048828125,-2.952363337351349
552,2020-02-24,2003.1800537109375,2039.300048828125,1987.969970703125,2009.2900390625,2013.635009765625,-4.850031941233901
567,2020-01-31,2051.469970703125,2055.719970703125,2002.27001953125,2008.719970703125,2028.9949951171875,8.98380041037614
691,2019-08-05,1770.219970703125,1788.6700439453125,1748.780029296875,1765.1300048828125,1768.7250366210938,-3.1997201025724897
730,2019-06-10,1822.0,1884.8699951171875,1818.0,1860.6300048828125,1851.4349975585938,3.845765682814095
735,2019-06-03,1760.010009765625,1766.2900390625,1672.0,1692.68994140625,1719.14501953125,-3.6431983093814346
818,2019-02-01,1638.8800048828125,1673.06005859375,1622.010009765625,1626.22998046875,1647.5350341796875,-3.5256997449650496
819,2019-01-31,1692.8499755859375,1736.4100341796875,1679.0799560546875,1718.72998046875,1707.7449951171875,3.6054997126008237
826,2019-01-22,1681.0,1681.8699951171875,1610.199951171875,1632.1700439453125,1646.0349731445312,-3.3943330264864735
836,2019-01-07,1602.31005859375,1634.56005859375,1589.18994140625,1629.510009765625,1611.875,3.5806182323814717
