,Date,Open,High,Low,Close,average H/L,daily fluc
17,2022-04-06,1073.469970703125,1079.0,1027.699951171875,1045.760009765625,1053.3499755859375,-5.958033995418244
24,2022-03-28,1065.0999755859375,1097.8800048828125,1053.5999755859375,1091.8399658203125,1075.739990234375,6.555330325668951
45,2022-02-25,809.22998046875,819.5,782.4000244140625,809.8699951171875,800.9500122070312,6.617062805342333
46,2022-02-24,700.3900146484375,802.47998046875,700.0,800.77001953125,751.239990234375,-5.851390832526027
63,2022-01-31,872.7100219726562,937.989990234375,862.0499877929688,936.719970703125,900.0199890136719,9.125738393252147
64,2022-01-28,831.5599975585938,857.5,792.010009765625,846.3499755859375,824.7550048828125,-6.511032364105896
65,2022-01-27,933.3599853515625,935.3900146484375,829.0,829.0999755859375,882.1950073242188,-6.827938449602156
68,2022-01-24,904.760009765625,933.510009765625,851.469970703125,930.0,892.489990234375,-8.229608921560349
79,2022-01-06,1077.0,1088.0,1020.5,1064.699951171875,1054.25,-6.345080824173477
82,2022-01-03,1147.75,1201.0699462890625,1136.0400390625,1199.780029296875,1168.5549926757812,9.385049201720053
89,2021-12-22,965.6599731445312,1015.6599731445312,957.0499877929688,1008.8699951171875,986.35498046875,8.05698700790527
119,2021-11-09,1173.5999755859375,1174.5,1011.52001953125,1023.5,1093.010009765625,-6.179398303379823
130,2021-10-25,950.530029296875,1045.02001953125,944.2000122070312,1024.8599853515625,994.6100158691406,10.453314202911468
274,2021-03-31,646.6199951171875,672.0,641.1099853515625,667.9299926757812,656.5549926757812,6.872472154109821
281,2021-03-22,684.5900268554688,699.6199951171875,668.75,670.0,684.1849975585938,6.749621342521106
289,2021-03-10,700.2999877929688,717.8499755859375,655.0599975585938,668.0599975585938,686.4549865722656,7.822973415267032
290,2021-03-09,608.1799926757812,678.0900268554688,595.2100219726562,673.5800170898438,636.6500244140625,8.005637981043655
292,2021-03-05,626.0599975585938,627.8400268554688,539.489990234375,597.9500122070312,583.6650085449219,-7.971933788801378
293,2021-03-04,655.7999877929688,668.4500122070312,600.0,621.4400024414062,634.2250061035156,-6.208177982321961
299,2021-02-24,711.8499755859375,745.0,694.1699829101562,742.02001953125,719.5849914550781,7.996337918065466
300,2021-02-23,662.1300048828125,713.6099853515625,619.0,698.8400268554688,666.3049926757812,-9.87962572864406
301,2021-02-22,762.6400146484375,768.5,710.2000122070312,714.5,739.3500061035156,-6.064184235787029
317,2021-01-28,820.0,848.0,801.0,835.4299926757812,824.5,-5.7800415217345025
330,2021-01-08,856.0,884.489990234375,838.3900146484375,880.02001953125,861.4400024414062,8.208191374208539
365,2020-11-17,460.1700134277344,462.0,433.010009765625,441.6099853515625,447.5050048828125,9.610062017724896
370,2020-11-10,420.0899963378906,420.0899963378906,396.0299987792969,410.3599853515625,408.05999755859375,-6.568975945370637
402,2020-09-25,393.4700012207031,408.7300109863281,391.29998779296875,407.3399963378906,400.01499938964844,6.5570074303068715
404,2020-09-23,405.1600036621094,412.1499938964844,375.8800048828125,380.3599853515625,394.01499938964844,-7.871541320695119
410,2020-09-15,436.55999755859375,461.94000244140625,430.70001220703125,449.760009765625,446.32000732421875,12.52237846767672
411,2020-09-14,380.95001220703125,420.0,373.29998779296875,419.6199951171875,396.6499938964844,6.769850308609526
413,2020-09-10,386.2099914550781,398.989990234375,360.55999755859375,371.3399963378906,379.7749938964844,6.90208123085001
415,2020-09-08,356.0,368.739990234375,329.8800048828125,330.2099914550781,349.30999755859375,-12.674682544057225
418,2020-09-02,478.989990234375,479.0400085449219,405.1199951171875,447.3699951171875,442.0800018310547,-9.130523775733879
429,2020-08-18,379.7980041503906,384.7799987792969,369.0220031738281,377.4179992675781,376.9010009765625,7.114010454513897
430,2020-08-17,335.3999938964844,369.1719970703125,334.5660095214844,367.12799072265625,351.86900329589844,6.77451160337299
432,2020-08-13,322.20001220703125,330.2359924316406,313.4519958496094,324.20001220703125,321.843994140625,6.570858986961925
433,2020-08-12,294.0,317.0,287.0,310.9519958496094,302.0,8.438061041292633
446,2020-07-24,283.2019958496094,293.0,273.3080139160156,283.3999938964844,283.1540069580078,-10.670485203099112
454,2020-07-14,311.20001220703125,318.0,286.20001220703125,303.3599853515625,302.1000061035156,-7.504356984574234
455,2020-07-13,331.79998779296875,358.99798583984375,294.22198486328125,299.4119873046875,326.6099853515625,11.66420720397985
460,2020-07-06,255.33799743652344,275.5580139160156,253.20799255371094,274.3160095214844,264.3830032348633,9.538864172311534
461,2020-07-02,244.29600524902344,245.60000610351562,237.1199951171875,241.73199462890625,241.36000061035156,8.925323879044566
463,2020-06-30,201.3000030517578,217.53799438476562,200.74600219726562,215.96200561523438,209.14199829101562,6.785736726517877
477,2020-06-10,198.37600708007812,205.49600219726562,196.5,205.00999450683594,200.9980010986328,7.0066085243680964
484,2020-06-01,171.60000610351562,179.8000030517578,170.82000732421875,179.6199951171875,175.31000518798828,6.947863747624972
502,2020-05-05,157.95799255371094,159.78399658203125,152.43600463867188,153.64199829101562,156.11000061035156,6.924657952295599
