,Text,Likes,Retweets,Date-Time,Date
0,Prime getting even better for members… :) https://t.co/ePn5zJEERx,330,31,2022-04-21 17:04:27+00:00,2022-04-21
1,Another important step toward our mission of running Amazon’s global operations on 100% renewable energy by 2025 – 5 years ahead of our initial goal. https://t.co/rJX0Fd8RKv,238,28,2022-04-20 18:34:40+00:00,2022-04-20
2,https://t.co/Kxq57wYBZG,58,4,2022-04-15 22:14:12+00:00,2022-04-15
3,https://t.co/eypxzj6Y8w https://t.co/XZs0mUutGY,71,5,2022-04-15 22:14:11+00:00,2022-04-15
4,Congrats to Zoey and the rest of this year's 250 #AmazonFutureEngineer $40K college scholarship recipients. Just the beginning of big things for all of you… excited for your Amazon internships to begin. https://t.co/6YyHBHyGHe https://t.co/pC5a47rq0L,193,30,2022-04-13 13:58:57+00:00,2022-04-13
5,"Still plenty more to do, but proud of our incredible teammates who make this a special place to work… https://t.co/DDTH4fVQQA",429,66,2022-04-06 13:40:31+00:00,2022-04-06
6,"Excited for Project Kuiper to partner w/ @Arianespace, @ulalaunch &amp; @blueorigin to deploy 3K+ broadband satellites in the coming years. Scale of this agreement will help us bring fast, affordable broadband to customers in unserved &amp; underserved communities.https://t.co/ApkkFTCLm5",242,35,2022-04-05 14:53:23+00:00,2022-04-05
7,".@ZachPerson here playing between periods at #Kraken game. Imo, best up and coming rock artist around. His self-titled record is fantastic. https://t.co/pohAFFTKGL",91,8,2022-03-31 04:35:22+00:00,2022-03-31
8,"Rain outside not dampening Amazon #MARS2022… some of brightest minds in machine learning, automation, robotics and space. Feel lucky to be surrounded by so many brilliant and accomplished people working on next generation of disruptive inventions. https://t.co/2zjwxrF5WV",208,16,2022-03-28 17:32:45+00:00,2022-03-28
9,"Am so sad and bummed to hear about Taylor Hawkins. Unbelievable musician, force of nature in Foo Fighters, really likable guy, and my thoughts and heart go out to his family (and the band).",435,13,2022-03-26 04:09:41+00:00,2022-03-26
10,"Very excited to have you and Al join the team, Kirk! Looking forward to the start of #TNFonPrime! https://t.co/U1vr9c6gQf",99,8,2022-03-23 19:08:52+00:00,2022-03-23
11,First shipments of critical supplies just arrived at a fulfillment center in Slovakia we’ve converted into a humanitarian aid hub. This will help charities get needed items to Ukrainian families faster. More help coming soon through our logistics network. https://t.co/NPEsI2kzJc https://t.co/AJLPgUOltV,572,100,2022-03-22 20:18:06+00:00,2022-03-22
12,(2/2) Our latest partnership ($124M) will build 1K+ homes next to public transit. https://t.co/PXLsGritxj,124,15,2022-03-15 17:44:12+00:00,2022-03-15
13,"As we continue to increase our focus on the communities in which we have a substantial presence, we’re excited to invest further in affordable housing. To date, we've committed more than $1.2B to create/preserve 8,000+ homes and help ~18K people. (1/2)",252,32,2022-03-15 17:44:12+00:00,2022-03-15
14,Important milestone for the #ClimatePledge - 300+ companies have now joined Amazon in committing to reach net-zero carbon emissions by 2040. Innovation and collaboration are key to solving big global challenges…encouraging to have these companies on board.https://t.co/IcvDZsvVIZ,159,36,2022-03-14 14:24:21+00:00,2022-03-14
15,Appreciative of our incredible women leaders and builders. Our teams are stronger and products are better when they include diverse perspectives and experiences. We’re committed to supporting women and their careers here at Amazon. #InternationalWomensDay #IWD2022,311,39,2022-03-08 15:01:12+00:00,2022-03-08
16,"Good luck to Garfield HS Girls Basketball team in WA State Finals tonight. What a year they’ve had! Same for Boys team, which finished 4th in State tournament + lost only 1 game all year. Impressive to watch hard work/commitment all year by these athletes. https://t.co/bcxrLV5nf1 https://t.co/3UjzJWxgPT",95,7,2022-03-06 02:04:32+00:00,2022-03-06
17,"(2/2) We’re supporting humanitarian relief NGOs on the ground with cash donations from Amazon and our employees, logistics to get supplies to people needing them, and cyber security assistance to companies and governments.",769,70,2022-03-03 00:59:23+00:00,2022-03-03
18,"The situation in Ukraine is deeply concerning, and gets more so each day. Amazon stands with the people of Ukraine, and will continue to help. (1/2)",1788,187,2022-03-03 00:59:23+00:00,2022-03-03
19,"Enjoyed visiting w/ @lazowska &amp; @greggottesman's class last night. So impressed w/ @UW and the clever composition of comp sci, design, and MBA students in this class who collaborate to conceive and build real products. I would have loved to take this class when I was in school. https://t.co/BcmVoKwvhY",243,17,2022-02-17 18:37:00+00:00,2022-02-17
20,"Pretty cool to see...over weekend Lost Ark became 2nd highest played game in Steam history (1.325M concurrent players). On the heels of New World success a few mos ago, team has found two games in a row that seem to be resonating with gamers. https://t.co/ZmhtXKE7CW",707,51,2022-02-15 02:35:07+00:00,2022-02-15
21,The first official trailer of The Lord of the Rings 'The Rings of Power' coming to @PrimeVideo Sept. 2. #SBLVI #LOTRROP #LOTRonPrime https://t.co/q0u57pLpLB,348,67,2022-02-14 01:41:24+00:00,2022-02-14
22,Hey #LOTRonPrime fans…be ready during 3rd quarter of #SBLVI. We have something during one of the commercial breaks for you.,414,36,2022-02-14 01:24:00+00:00,2022-02-14
