,Text,Likes,Retweets,Date-Time,Date
0,Great work to the @Cruise team as it continues making progress on expanding its full driverless operations in San Francisco. https://t.co/hDjHBxRLvF,72,7,2022-05-04 00:10:16+00:00,2022-05-04
1,".@Serwer, thanks for having me on @YahooFinance. @GM’s aspiration for an all-electric future requires a holistic approach. Our Ultium battery platform is the differentiator driving our success. https://t.co/cIwxU1LA1I",30,5,2022-05-02 21:04:36+00:00,2022-05-02
2,"RT @MotorTrend: So far so good for @GM electric product push, which CEO Mary Barra outlined during the automaker's most recent earnings cal…",0,8,2022-05-02 20:58:32+00:00,2022-05-02
3,"RT @TechCrunch: EVs, AVs, and pay packages: 3 takeaways from GM's Q1 earnings https://t.co/oKsonRJd8O by @kirstenkorosec and @jaclyntrop",0,6,2022-05-02 20:49:21+00:00,2022-05-02
4,RT @jlareauan: Look who's hiring @GM. Details on @freepautos @freep @UAW @GMdudeinNA @mtbarra https://t.co/eJnxTHngTE,0,4,2022-05-02 20:48:15+00:00,2022-05-02
5,"Great discussion with @YahooFinance's @Serwer about how the @GM team is accelerating our all-electric future. We’ve made smart investments to build the teams, capabilities, and partnerships that enable us to approach EVs the right way. https://t.co/Q0hVotlriP",88,11,2022-05-02 20:46:09+00:00,2022-05-02
6,"I’m so proud of the @BrightDrop team for bringing the Zevo 600 to life in record time. This was no small task, and I am confident in the positive impact it will bring. Keep up the great work! https://t.co/LiulnyJ1Ow",36,2,2022-04-28 17:21:40+00:00,2022-04-28
7,"Our 2021 Sustainability Report highlights how @GM’s investments reflect our sense of urgency to create a safer, more equitable and all-electric future. I'm proud of the progress we've made as we continue executing our global #EV strategy. https://t.co/wLJG1F18ec https://t.co/FfgQpJiwHj",59,14,2022-04-28 13:20:59+00:00,2022-04-28
8,"✅Leading segments 
✅Innovative designs 
✅Vertically integrated battery platform 
✅Accelerating volumes 
✅Driving growth https://t.co/z70RfLgHvM",76,13,2022-04-28 00:51:38+00:00,2022-04-28
9,"Great talking with @SquawkCNBC about how @GM is accelerating #EV production and the major steps @Cruise is taking to commercialize #AVs. Thanks for having me, @Lebeaucarnews. https://t.co/naRw1CrP5c",35,7,2022-04-27 15:24:22+00:00,2022-04-27
10,"Our goals to eliminate emissions from light duty vehicles by 2035 and achieve carbon neutrality by 2040 in our products and operations are taking shape. 

The @GM team is united around our vision and executes against it every day.",20,0,2022-04-26 20:17:37+00:00,2022-04-26
11,We are also making rapid progress at @Cruise. Seeing people experience Cruise's #AV technology reaffirms the team's remarkable work and dedication. Their self-driving fleet has driven 40 times the distance between San Francisco and New York City.,20,1,2022-04-26 20:17:36+00:00,2022-04-26
12,"Another area we are building a competitive advantage is in affordable EVs. With a starting price around $30K MSRP, the @Chevrolet Equinox EV launching mid-2023 is a true white space opportunity for us since most “affordable” EVs from Chevy’s competitors start at $40K or more.",10,0,2022-04-26 20:17:36+00:00,2022-04-26
13,"You will see many of the @GMC HUMMER EV Pickup’s best attributes available in the upcoming @Chevrolet Silverado EV, including superior range, faster fast-charging capability, four-wheel steering and Super Cruise.",5,0,2022-04-26 20:17:36+00:00,2022-04-26
14,"Our drive to produce 400,000 EVs in North America over the course of 2022 and 2023 is underway. @Chevrolet, @GMC, and @Cadillac will launch a total of six Ultium-based EVs in 2022 and 2023, including the Cadillac LYRIQ and Chevrolet Silverado EV.",15,1,2022-04-26 20:17:35+00:00,2022-04-26
15,"I’m proud of the @GM team for delivering strong Q1 results, launching #EVs and making significant strides in #AV technology. https://t.co/boXtRo3pK8",128,18,2022-04-26 20:17:35+00:00,2022-04-26
16,"Leveraging the strength of @GM’s Ultium electric vehicle platform, the #SilveradoEV is the gold standard for all-electric pickups, reimagining what a truck can be. https://t.co/cxmSsxaxyQ",62,7,2022-04-26 13:47:44+00:00,2022-04-26
17,"The Ultium energy recovery system is another example of what’s possible with @GM’s dedicated, ground-up #EV platform. Ultium is the foundation of our EV strategy, and it creates profound benefits for our EV customers. https://t.co/yFvGqak4xd",61,9,2022-04-25 20:10:16+00:00,2022-04-25
18,"RT @MissGoElectric: It's official. The Corvette is going electric ⚡

@GM @CorvetteRacing @chevrolet @ChevyElectric @mtbarra https://t.co/kY…",0,5,2022-04-25 20:09:17+00:00,2022-04-25
19,Electrified Corvette. That’s it. That’s the tweet. https://t.co/tWoJbaGPFW,1461,174,2022-04-25 13:10:11+00:00,2022-04-25
20,"@bobby_hahn4 @ChevyElectric I'm so glad you enjoyed your first drive in the @Chevrolet Bolt EUV. It’s always fun seeing people experience EVs and Super Cruise technology for the first time. Thanks for sharing, Bobby.",3,1,2022-04-22 15:49:40+00:00,2022-04-22
21,@ChuckRobbins @Cisco @GM Likewise! I am confident our collaboration will help accelerate #EV and #AV development to create a better world.,5,1,2022-04-22 15:46:06+00:00,2022-04-22
