,Text,Likes,Retweets,Date-Time,Date
0,"Glad we were able to host you before things got too dire, @LinusTech! https://t.co/f1pCPVSTts",215,12,2022-05-02 20:15:28+00:00,2022-05-02
1,"""When I am in distress, I call to you, because you answer me."" - Psalm 86:7",366,35,2022-05-01 19:57:21+00:00,2022-05-01
2,"On Admin Professional's Day, I recognize all the admins @Intel for their hard work behind – and directly in front of – the scenes. I can't thank my team enough: you make my work life run smoothly, you keep me sane, and you accept my #torrid pace.",240,12,2022-04-27 16:02:45+00:00,2022-04-27
3,"Lovely to have @LeoVaradkar, Tánaiste (Deputy Prime Minister) of Ireland in Santa Clara today! https://t.co/C8FemZrfSl",197,7,2022-04-27 02:27:02+00:00,2022-04-27
4,"🏎👍🏻
Intel Wins DARPA RACER-Sim Program https://t.co/7eJxX8Dq2G",163,16,2022-04-26 13:38:24+00:00,2022-04-26
5,"Excited to bring our ecosystem together to discuss what happens when AI, ubiquitous compute, pervasive connectivity, and cloud-to-edge infrastructure work in harmony. #IntelON https://t.co/NwHrD7RGww",72,8,2022-04-25 20:02:26+00:00,2022-04-25
6,"""Jesus said to her, I am the resurrection and the life. The one who believes in me will live, even though they die; and whoever lives by believing in me will never die. Do you believe this?” - John 11:25-26",259,15,2022-04-24 16:22:32+00:00,2022-04-24
7,"On Earth Day, I encourage everyone to take action on sustainability. Protecting our planet requires immediate action.",195,11,2022-04-22 16:07:39+00:00,2022-04-22
8,"Congrats, @SundariMitra! Well-deserved honor!
https://t.co/Tv7mWyzmzf",97,5,2022-04-21 17:33:24+00:00,2022-04-21
9,https://t.co/xkDPvKNSr0 https://t.co/n8iCwpfbyL,25,3,2022-04-20 21:31:33+00:00,2022-04-20
10,An insightful @JustCapital conversation on what companies can do to bolster their employee engagement. Investing in your current &amp; future employees is a must!,70,6,2022-04-20 21:31:04+00:00,2022-04-20
11,"Congrats, @rajaontheedge, on your promotion to executive vice president! Your leadership in graphics and accelerated computing is key to @intel’s strategy for growth. Thank you!",635,54,2022-04-19 18:34:25+00:00,2022-04-19
12,"Thanks, Pat, for digging in on this one. Exciting times for graphics! https://t.co/UOG80s7oI1",313,42,2022-04-18 17:15:38+00:00,2022-04-18
13,"He is not here; he has risen! Remember how he told you, while he was still with you in Galilee: 'The Son of Man must be delivered over to the hands of sinners, be crucified and on the third day be raised again.’ - Luke 24:6-7",470,35,2022-04-17 13:23:36+00:00,2022-04-17
14,"This week, I was delighted to announce that we renamed our Hillsboro, Oregon campus (the crown jewel of Intel) to the ""Gordon Moore Park at Ronler Acres."" I can think of no better way to honor Gordon. https://t.co/Tr71xZmgFJ",727,61,2022-04-15 21:32:04+00:00,2022-04-15
15,"Protecting our planet requires immediate action. I'm proud of Intel's net-zero and greener computing strategy. Our goals are ambitious, but they are incredibly important. We, as an industry, must do more. https://t.co/AgbXyEyXpD",195,24,2022-04-13 19:48:47+00:00,2022-04-13
16,"Making millions of tiny semiconductors means building big. Take a look. 
https://t.co/S1DWikpDm9",276,40,2022-04-12 20:26:29+00:00,2022-04-12
17,"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life. - John 3:16",361,28,2022-04-10 16:46:45+00:00,2022-04-10
18,Intel's @SandraLRivera explains how we think about AI and how our strategy will take us there. https://t.co/HHQnV9OlKi via @WSJ,185,41,2022-04-09 14:34:26+00:00,2022-04-09
