,Text,Likes,Retweets,Date-Time,Date
0,Eid Mubarak to everyone celebrating around the world! Wishing you a joyous and peaceful holiday connecting with family and friends.,69778,7060,2022-05-01 23:11:44+00:00,2022-05-01
1,"Some nicknames just fit. Loving this powerful series about one of the greatest to ever play the game. Thank you for sharing your story with us, Magic! https://t.co/DuRnSHocxD",1867,175,2022-04-27 14:41:38+00:00,2022-04-27
2,"Chicken and rice, what could go wrong? ‘Poached’ from film director @ThisIsDavidGelb is entirely #ShotOniPhone and captures the nuances of Singaporean street food culture and the simple beauty of Hainanese 🍗🍚. Enjoy! https://t.co/C4KRzfUehE",2789,368,2022-04-25 02:04:38+00:00,2022-04-25
3,Daisy's been hard at work. 🦾 https://t.co/76HJoS51i4,4204,437,2022-04-23 01:25:04+00:00,2022-04-23
4,"Protecting the environment is a huge responsibility that we consider in everything we do. Teams across the company are meeting the moment with commitment and clarity of purpose. In honor of #EarthDay, here's how we’re working toward a greener future. https://t.co/iIHRXEwpfA",4748,521,2022-04-22 18:57:00+00:00,2022-04-22
5,Apple is partnering with @AERFConserve to help Maharashtra save its mangrove forests — habitats that absorb carbon and protect against monsoons and tsunamis. This is another one of the many ways we are fighting to protect and preserve the environment. https://t.co/jIBp9ZEBZD,2370,261,2022-04-22 03:24:15+00:00,2022-04-22
6,Hiking is one of my favorite ways to clear my mind. The trails in @YosemiteNPS are some of the best. Thanks to @tiffpenguin for this amazing #ShotOniPhone photo for #NationalParkWeek! https://t.co/bmKMlTWxPX,11012,608,2022-04-21 18:15:07+00:00,2022-04-21
7,What a special episode of Time to Walk as the incomparable @JaneGoodallInst shares insights gleaned from a lifetime of service to the planet and its inhabitants. Her stories about nature and advocacy have never mattered more. Listen now on Apple Watch. https://t.co/QSlzdWUUEo https://t.co/qlERKeSqP9,1909,179,2022-04-21 00:31:38+00:00,2022-04-21
8,"Our future hinges on the decisions we make today. That’s why at Apple, we’re using more recycled content in our products than ever before, and why we’ve set an ambitious goal to one day make our products without taking anything from the Earth. https://t.co/AvdGLDgceU",3403,379,2022-04-19 21:15:43+00:00,2022-04-19
9,"Wishing a Happy Easter to all those celebrating! May today remind us of the power of renewal, kindness, and our shared humanity. 🌷",11211,762,2022-04-17 13:51:15+00:00,2022-04-17
10,"Thanks so much Molly, I’d be honored! See you there! 🦬 https://t.co/eSmy1uyFu7",4350,366,2022-04-16 16:32:51+00:00,2022-04-16
11,I hope your seder table is full and conversations are meaningful tonight. Chag Pesach Sameach to all celebrating the story of Passover! 🍷🫓,4855,303,2022-04-15 21:48:56+00:00,2022-04-15
12,"In the past year, we’ve doubled the number of our suppliers using 100% clean energy. We aren’t stopping there because we know the fight against climate change requires leadership, urgency, and partnership. https://t.co/vTfa2XAqwq",3327,385,2022-04-14 18:37:21+00:00,2022-04-14
13,Such stunning macro photography from the #ShotOniPhone Challenge! Here's a look at a couple of the winning shots from Trevor and Tom. Your photos give us a beautiful glimpse of life up close. https://t.co/cc4Pnr3KRp https://t.co/GXQJHSb8V5,4121,350,2022-04-13 16:32:08+00:00,2022-04-13
14,We’re thrilled to have you! I know fans will be excited for the Today at Apple Remix sessions. https://t.co/DPxcPvo0mC,28058,10561,2022-04-09 23:05:36+00:00,2022-04-09
15,"반가워요, 서울! 🇰🇷 Apple Myeongdong opened its doors as our newest store in the heart of Korea. We're thrilled to further support our Korean customers in a space as unique and vibrant as the community it serves. https://t.co/aVSZd5GZjz",7478,1183,2022-04-09 03:02:34+00:00,2022-04-09
16,"From the age of six, Anthony has expressed his love for photography. He now shares his larger-than-life iPhone images of model cars with fans around the world and his creativity really shines through! #ShotOniPhone #AutismAcceptanceMonth 📸 IG: anthony_ryan_schmidt https://t.co/kJTcGhvB6A",9930,879,2022-04-02 20:19:40+00:00,2022-04-02
