,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date,daily fluc
2,2,"On Admin Professional's Day, I recognize all the admins @Intel for their hard work behind – and directly in front of – the scenes. I can't thank my team enough: you make my work life run smoothly, you keep me sane, and you accept my #torrid pace.",240,12,2022-04-27 16:02:45+00:00,2022-04-27,-4.256007654877791
3,3,"Lovely to have @LeoVaradkar, Tánaiste (Deputy Prime Minister) of Ireland in Santa Clara today! https://t.co/C8FemZrfSl",197,7,2022-04-27 02:27:02+00:00,2022-04-27,-4.256007654877791
23,23,"Could there be a geekier way to share Intel trivia than w/ an old-school video game. #8Bit
https://t.co/s1UZWjb5Ee",198,28,2022-04-01 17:57:47+00:00,2022-04-01,-3.5129437372829253
24,24,"During this season of Lent, it is my goal to deepen my faith and grow in friendship with those around me – physically or virtually. Today I will again be praying and fasting, especially for those in Ukraine. Please join me.",335,15,2022-03-31 15:10:48+00:00,2022-03-31,-3.5129437372829253
25,25,Congrats to the teams involved! Wonderful! https://t.co/6Mtv0pPT3F,200,17,2022-03-31 15:10:19+00:00,2022-03-31,-3.5129437372829253
40,40,@rnivruti @lkouniv Congrats @rnivruti! Proud to have you as part of #TeamIntel,60,5,2022-03-16 16:37:24+00:00,2022-03-16,3.2932452118411115
41,41,"Our own Carolyn Duran, VP &amp; engineering manager, sat down to share about her 23-years at Intel. Read about her work as a woman in tech and how she’s continuing to change the world. #WomensHistoryMonth #InclusionAtIntel #IAmIntel https://t.co/GJHFJv33k2",59,7,2022-03-16 15:14:40+00:00,2022-03-16,3.2932452118411115
42,42,"Thank you, President @vonderleyen. Joining forces between governments and industry is a magnet for further investments in innovation, economies and communities across Europe. #IntelEurope https://t.co/HcYKuWQrgP",150,30,2022-03-15 15:16:55+00:00,2022-03-15,3.2932452118411115
43,43,"Overall, we envision investing up to €80 billion in the EU over the next decade along the entire semiconductor value chain – from R&amp;D to design to advanced chip packaging to manufacturing and foundry services.",71,9,2022-03-15 15:14:16+00:00,2022-03-15,3.2932452118411115
44,44,"Government and industry working together furthers investments in innovation, economies and communities across Europe. We are committed to playing an essential role in shaping Europe’s digital future for decades to come. https://t.co/13DWSDMlID",112,22,2022-03-15 15:13:40+00:00,2022-03-15,3.2932452118411115
45,45,"We call our new planned Germany site the “silicon junction” because it connects the technology hubs across the country and region. (As a geek, I like that junction is a real term to describe a region in a semiconductor.)",183,22,2022-03-15 15:11:43+00:00,2022-03-15,3.2932452118411115
46,46,"That vision begins today, with an initial investment of more than 33 billion euros. There are multiple facets to this, across multiple countries, so let me walk through each one.",109,15,2022-03-15 15:11:00+00:00,2022-03-15,3.2932452118411115
47,47,"Today, I am pleased to announce our European investment plans. This is bigger than one fab or two fabs. This is a holistic investment strategy that will help create a next-gen European chip ecosystem and address the need for a more balanced and resilient supply chain.",930,112,2022-03-15 15:10:35+00:00,2022-03-15,3.2932452118411115
