,Date,Open,High,Low,Close,average H/L,daily fluc
3,2022-04-27,2289.389892578125,2344.840087890625,2254.72998046875,2285.889892578125,2299.7850341796875,-4.581548020607318
6,2022-04-22,2500.0,2508.0400390625,2378.5,2392.7099609375,2443.27001953125,-4.044378221649481
14,2022-04-11,2636.469970703125,2641.85009765625,2573.3701171875,2576.469970703125,2607.610107421875,-2.931290675260445
17,2022-04-06,2775.0,2787.2099609375,2710.340087890625,2730.9599609375,2748.7750244140625,-2.997990515688953
34,2022-03-14,2605.0,2608.179931640625,2505.5,2519.02001953125,2556.8399658203125,-2.9393317562204424
45,2022-02-25,2671.0400390625,2705.429931640625,2635.030029296875,2689.18994140625,2670.22998046875,3.5159416362764873
54,2022-02-11,2772.0,2783.1298828125,2668.0,2685.64990234375,2725.56494140625,-2.463842257900817
61,2022-02-02,3025.0,3030.929931640625,2910.449951171875,2960.0,2970.68994140625,9.151728617888356
68,2022-01-24,2519.56005859375,2624.06005859375,2490.0,2616.080078125,2557.030029296875,-3.4908205845803786
80,2022-01-05,2888.39990234375,2889.989990234375,2753.760009765625,2755.5,2821.875,-2.7615299798214865
95,2021-12-14,2879.360107421875,2889.60009765625,2824.300048828125,2878.139892578125,2856.9500732421875,-2.655136138943315
100,2021-12-07,2911.929931640625,2950.6201171875,2904.550048828125,2945.389892578125,2927.5850830078125,3.0830734884744526
128,2021-10-27,2788.10009765625,2973.0,2788.10009765625,2924.35009765625,2880.550048828125,3.4726792269094364
149,2021-09-28,2773.10009765625,2781.929931640625,2707.199951171875,2716.60009765625,2744.56494140625,-2.6770748004972034
155,2021-09-20,2763.22998046875,2780.0,2726.43994140625,2774.389892578125,2753.219970703125,-3.0283172001768333
192,2021-07-28,2726.239990234375,2765.93994140625,2705.550048828125,2721.8798828125,2735.7449951171875,3.429638409225433
195,2021-07-23,2608.610107421875,2667.97998046875,2596.010009765625,2660.300048828125,2631.9949951171875,2.8195361526405893
251,2021-05-04,2313.550048828125,2324.989990234375,2256.679931640625,2306.830078125,2290.8349609375,-2.8700167594524095
255,2021-04-28,2392.5,2431.3798828125,2353.219970703125,2359.0400390625,2392.2999267578125,3.9089085846268468
272,2021-04-05,2147.14990234375,2228.989990234375,2145.2099609375,2218.9599609375,2187.0999755859375,3.4779692823293074
313,2021-02-03,2065.610107421875,2106.6201171875,2013.550048828125,2058.8798828125,2060.0850830078125,6.858091480519568
315,2021-02-01,1844.5899658203125,1915.5400390625,1844.5899658203125,1893.0699462890625,1880.0650024414062,3.042665431344971
318,2021-01-27,1874.9100341796875,1880.469970703125,1797.280029296875,1818.93994140625,1838.875,-3.0098527573617084
323,2021-01-20,1826.3699951171875,1899.719970703125,1819.510009765625,1880.0699462890625,1859.614990234375,5.161919620052191
370,2020-11-10,1729.77001953125,1759.3800048828125,1716.1199951171875,1737.719970703125,1737.75,-2.76798776086713
374,2020-11-04,1705.5799560546875,1770.030029296875,1703.0,1745.8499755859375,1736.5150146484375,6.172829554785242
377,2020-10-30,1667.43994140625,1681.3199462890625,1601.5699462890625,1616.1099853515625,1641.4449462890625,5.719267806920958
379,2020-10-28,1550.010009765625,1553.81005859375,1508.47998046875,1510.800048828125,1531.14501953125,-3.6709757353866723
384,2020-10-21,1569.8499755859375,1615.1400146484375,1567.1400146484375,1585.989990234375,1591.1400146484375,2.8419651508217347
391,2020-10-12,1538.0,1588.4200439453125,1529.300048828125,1564.5899658203125,1558.8600463867188,3.963856750262207
406,2020-09-21,1431.6199951171875,1440.06005859375,1402.6800537109375,1430.1400146484375,1421.3700561523438,-2.8727368108509843
408,2020-09-17,1485.81005859375,1498.6600341796875,1462.4599609375,1487.0400390625,1480.5599975585938,-3.41948254889326
415,2020-09-08,1525.0,1555.550048828125,1516.5,1523.5999755859375,1536.0250244140625,-3.180308398204923
416,2020-09-04,1609.0,1634.989990234375,1537.969970703125,1581.2099609375,1586.47998046875,-4.073815467236674
418,2020-09-02,1668.010009765625,1726.0999755859375,1660.18994140625,1717.3900146484375,1693.1449584960938,2.965865967075265
441,2020-07-31,1497.050048828125,1505.02001953125,1454.0,1487.949951171875,1479.510009765625,-2.5375004965541903
446,2020-07-24,1499.18994140625,1515.4300537109375,1487.5899658203125,1508.2099609375,1501.510009765625,-2.4657811883243452
461,2020-07-02,1451.8399658203125,1488.52001953125,1451.0699462890625,1469.9300537109375,1469.7949829101562,2.6873582864222145
476,2020-06-11,1441.030029296875,1451.5999755859375,1398.4100341796875,1401.9000244140625,1425.0050048828125,-2.634662450541725
496,2020-05-13,1376.1600341796875,1385.3299560546875,1328.010009765625,1348.3299560546875,1356.6699829101562,-2.7072188051418866
502,2020-05-05,1337.5,1371.010009765625,1335.030029296875,1349.02001953125,1353.02001953125,3.2650529380669147
506,2020-04-29,1345.0,1360.1500244140625,1326.72998046875,1342.1800537109375,1343.4400024414062,6.828247701286738
512,2020-04-21,1242.7099609375,1250.0,1205.0,1212.1600341796875,1227.5,-3.089295657166513
517,2020-04-14,1239.969970703125,1275.75,1228.5400390625,1265.22998046875,1252.14501953125,4.48255270755098
521,2020-04-07,1217.010009765625,1220.780029296875,1177.25,1182.56005859375,1199.0150146484375,3.553061828646231
522,2020-04-06,1133.0,1190.75,1125.0,1183.18994140625,1157.875,5.555479821232634
525,2020-04-01,1124.0,1129.4200439453125,1093.489990234375,1102.0999755859375,1111.4550170898438,-3.7751268817997508
526,2020-03-31,1148.72998046875,1173.4000244140625,1136.719970703125,1161.949951171875,1155.0599975585938,2.695277825019149
531,2020-03-24,1103.97998046875,1133.3299560546875,1086.4300537109375,1130.010009765625,1109.8800048828125,6.936186803835853
532,2020-03-23,1056.3699951171875,1066.9100341796875,1008.8699951171875,1054.1300048828125,1037.8900146484375,-5.671228914652127
534,2020-03-19,1088.219970703125,1152.6099853515625,1055.550048828125,1111.6700439453125,1104.0800170898438,3.089185488587276
537,2020-03-16,1089.6099853515625,1145.469970703125,1067.0799560546875,1073.0,1106.2749633789062,-4.905687203915798
539,2020-03-12,1122.6199951171875,1188.75,1108.469970703125,1111.550048828125,1148.6099853515625,-6.162000818765179
542,2020-03-09,1204.9599609375,1252.72998046875,1198.0400390625,1215.7900390625,1225.385009765625,-4.265298796558636
543,2020-03-06,1269.949951171875,1302.75,1257.2099609375,1295.739990234375,1279.97998046875,-3.589467658380585
547,2020-03-02,1351.3900146484375,1387.469970703125,1325.199951171875,1386.3199462890625,1356.3349609375,3.9074415358529846
548,2020-02-28,1274.31005859375,1342.449951171875,1268.2099609375,1339.25,1305.3299560546875,-2.7194445656163357
549,2020-02-27,1359.1400146484375,1369.4000244140625,1314.239990234375,1314.949951171875,1341.8200073242188,-3.8197731570007054
552,2020-02-24,1423.050048828125,1436.3800048828125,1406.7900390625,1419.8599853515625,1421.5850219726562,-4.892886304052368
571,2020-01-27,1431.5400390625,1436.5799560546875,1419.5,1431.72998046875,1428.0399780273438,-3.4253308219056255
650,2019-10-02,1196.5,1198.760009765625,1172.6300048828125,1177.9200439453125,1185.6950073242188,-2.7485131127175877
691,2019-08-05,1172.969970703125,1176.8800048828125,1142.75,1154.75,1159.8150024414062,-3.3286099236168987
697,2019-07-26,1228.0,1268.3900146484375,1228.0,1245.219970703125,1248.1950073242188,10.104092766333682
735,2019-06-03,1066.9300537109375,1067.0,1027.030029296875,1038.739990234375,1047.0150146484375,-5.536031158368104
744,2019-05-20,1153.0,1153.0,1138.1400146484375,1144.6600341796875,1145.5700073242188,-2.6169849317201455
746,2019-05-16,1171.8399658203125,1194.1600341796875,1168.449951171875,1184.5,1181.3049926757812,2.7355702963770767
758,2019-04-30,1190.6300048828125,1200.97998046875,1183.0,1198.9599609375,1191.989990234375,-7.190461874862953
814,2019-02-07,1111.8199462890625,1111.989990234375,1093.5899658203125,1105.9100341796875,1102.7899780273438,-2.9387962174727056
