,Date,Open,High,Low,Close,average H/L,daily fluc
0,2022-05-02,156.7100067138672,158.22999572753906,153.27000427246094,157.9600067138672,155.75,-3.6945422974155706
34,2022-03-14,151.4499969482422,154.1199951171875,150.10000610351562,150.6199951171875,152.11000061035156,-3.0467198660797834
45,2022-02-25,163.83999633789062,165.1199951171875,160.8699951171875,164.85000610351562,162.9949951171875,3.5381876814055913
46,2022-02-24,152.5800018310547,162.85000610351562,152.0,162.74000549316406,157.4250030517578,-3.390606934616436
63,2022-01-31,169.94348547253134,174.77732321132646,169.2943034141225,174.55760192871094,172.03581331272449,3.4098717541864776
64,2022-01-28,165.499149571323,170.13324480930243,162.59284873361844,170.11326599121094,166.36304677146043,3.4241889403410664
68,2022-01-24,159.81638226732795,162.09347979733883,154.50314453772086,161.41433715820312,158.29831216752984,-3.5389437942538793
103,2021-12-02,158.53801908174094,163.9910630500971,157.59921273277075,163.55162048339844,160.7951378914339,-3.8317977720677243
155,2021-09-20,143.40773397805998,144.44489028787606,140.8846367304498,142.55007934570312,142.66476350916292,-2.875278166712081
199,2021-07-19,143.143394165326,143.4620511013012,141.0721696646842,141.848876953125,142.2671103829927,-3.348661398163888
246,2021-05-11,122.97885113840427,125.7371588697528,122.25192827068871,125.3786849975586,123.99454357022076,-2.8515628869801413
251,2021-05-04,130.4148820767872,130.7131125965644,125.95140524152569,127.09461212158203,128.33225891904505,-2.8995889640953343
285,2021-03-16,124.95730839849902,126.46833184521513,123.98310289867126,124.82807922363281,125.2257173719432,3.0766705136251904
300,2021-02-23,123.02877277998513,125.96133982896944,117.6904984075437,125.11636352539062,121.82591911825656,-4.00282292930112
316,2021-01-29,134.82597762431567,135.72925474815912,129.24752422150164,130.98458862304688,132.48838948483038,-4.212574270562608
322,2021-01-21,132.81100697216,138.63761343444654,132.60255254388298,135.85830688476562,135.62008298916476,4.681288518439453
341,2020-12-22,130.6371886418299,133.41649511682292,128.69166956553426,130.9051971435547,131.05408234117857,4.885608276708897
373,2020-11-05,116.87651324688818,118.53132002825414,115.80634826271879,117.94668579101562,117.16883414548647,3.75099237621741
374,2020-11-04,113.10119059891943,114.53799086252504,111.32748080566654,113.90381622314453,112.93273583409578,3.5055897366084166
377,2020-10-30,110.04922184254018,110.9707580585294,106.73962337304737,107.86924743652344,108.85519071578838,-4.111197289909607
391,2020-10-12,118.9673098291745,124.04071450571199,118.19440995969298,123.26781463623047,121.11756223270248,5.407032637788234
401,2020-09-28,113.96327477134835,114.27045098465388,111.75356708865287,113.91372680664062,113.01200903665338,3.6300022048743052
405,2020-09-22,111.65447356642271,111.83283564719805,108.16651322676427,110.79238891601562,109.99967443698117,4.09301856207398
408,2020-09-17,108.72142482396002,111.17884977889616,107.72061485217249,109.33577728271484,109.44973231553433,-3.1266286095105733
412,2020-09-11,113.52726895814443,114.18126575888839,108.99886199406215,110.98065948486328,111.59006387647527,-3.3347654439125574
416,2020-09-04,118.97720871734245,122.57416834057052,109.88075818756663,119.8591079711914,116.22746326406858,-5.9156266886967295
417,2020-09-03,125.75497240399248,127.6673998618702,119.40330736280139,119.77984619140625,123.5353536123358,-5.9023343928887755
419,2020-09-01,131.5517418054028,133.5731841712245,129.34204133602483,132.9588165283203,131.4576127536247,3.241260971556037
425,2020-08-24,127.52618492061562,127.61289763215994,122.80951236979428,124.7120361328125,125.21120500097712,3.5249334083919504
426,2020-08-21,118.17706898275848,123.73106026510098,118.16468577133594,123.23809051513672,120.94787301821846,4.26802462570115
440,2020-08-03,107.02228674038334,110.4223710384083,106.71813857466157,107.75176239013672,108.57025480653493,5.930321947624195
441,2020-07-31,101.76514420201241,105.25672049932749,99.72756126319942,105.10340881347656,102.49214088126345,9.036392668924865
445,2020-07-27,92.68999740375561,93.8719899306246,92.46250510200825,93.77802276611328,93.16724751631642,3.4428607781579634
446,2020-07-24,89.99715318445354,91.95807293072878,88.1747014636715,91.60693359375,90.06638719720013,-3.687425261575339
447,2020-07-23,95.94170929932243,96.02084033477853,91.00850124769177,91.83441162109375,93.51467079123515,-2.8215015307361258
468,2020-06-23,90.00950896531398,92.08170710989883,89.58171380217114,90.63512420654297,90.83171045603498,3.383019536864751
477,2020-06-10,86.02830463019988,87.72710900823401,85.580730545456,87.24986267089844,86.65391977684502,3.4296449729902534
493,2020-05-18,77.44031850455673,78.26375373052115,76.73557229344763,77.88294219970703,77.49966301198438,3.076748012461139
512,2020-04-21,68.13377128369159,68.37298455142104,65.45803710984669,66.18307495117188,66.91551083063386,-2.8377969927414814
517,2020-04-14,69.05115790319724,71.0857009485593,68.57026290026553,70.78976440429688,69.82798192441243,4.9617178946683715
521,2020-04-07,66.78232414351365,67.00428029146943,63.87231437541128,63.978355407714844,65.43829733344035,3.5532287906905324
522,2020-04-06,61.874771063446595,64.88589280257783,61.499924612558665,64.72806549072266,63.19290870756825,5.739994748239252
525,2020-04-01,60.78967745089109,61.33715476588958,58.97215361320967,59.4111213684082,60.154654189549625,-5.17794555430231
530,2020-03-25,61.83777622994308,63.68736076324148,60.24713428390434,60.54800033569336,61.96724752357291,4.2656472208429275
531,2020-03-24,58.2890406861891,61.08314686320533,57.781022065456945,60.883392333984375,59.43208446433114,9.267533868465794
532,2020-03-23,56.24709803218677,56.35067431240578,52.43202144400138,55.33216857910156,54.391347878203575,-8.069526129446658
533,2020-03-20,60.95737180804192,62.104116469372975,56.22736946377179,56.53316879272461,59.16574296657238,-3.152692947259783
537,2020-03-16,59.66759481878774,63.89204322973323,59.186703604598236,59.73171615600586,61.539373417165734,-6.3411325220794845
539,2020-03-12,63.11769475730984,66.58504892518755,61.15960049424634,61.2163200378418,63.87232470971695,-6.342653040057888
542,2020-03-09,65.04372322603473,68.5801279762304,64.85876477136354,65.6405258178711,66.71944637379697,-5.412124640957305
543,2020-03-06,69.54438384383378,71.71949722986533,69.35449585971205,71.27806091308594,70.53699654478868,-3.1998819292502034
