,Text,Likes,Retweets,Date-Time,Date
0,"RT @judsonalthoff: In Q3, @Microsoft partnered with customers to help them innovate amid uncertainty. Through supply chain disruptions and…",0,54,2022-04-25 18:52:05+00:00,2022-04-25
1,"Every day, we must do our part to protect our planet from the impacts of climate change, and technology has an important role to play. https://t.co/nXjoCNzlVv",772,95,2022-04-22 16:11:19+00:00,2022-04-22
2,"As @KraftHeinzCo’s preferred cloud platform, we’ll apply the power of Azure to accelerate the company’s digital transformation and build a more resilient supply chain. https://t.co/d3J16ZYWiR",245,36,2022-04-21 16:49:59+00:00,2022-04-21
3,RT @vasujakkal: The first step to protecting your data is knowing where it lives. That’s why I’m thrilled to introduce Microsoft Purview –…,0,50,2022-04-19 17:59:34+00:00,2022-04-19
4,"We’re removing limits on how and where you work with Windows 11 and Windows 365. Together, they bring the power of Azure computing to Windows computers. https://t.co/hSkSOuoG68",989,173,2022-04-05 16:36:23+00:00,2022-04-05
5,"RT @Lindsay_Rae_M: ""The one thing that is constant is that every one of us has a family, regardless of whether it is a family tree that con…",0,17,2022-04-05 01:10:14+00:00,2022-04-05
6,"We’re applying what we’ve learned from past tech shifts, and taking a principled approach to security in the metaverse to help ensure we create a trusted environment that benefits everyone. https://t.co/OMfB2YIr57",590,67,2022-03-30 00:18:35+00:00,2022-03-30
7,RT @Fredhum: We are deeply concerned by numerous state actions that could create or encourage discrimination against LGBTQIA+ individuals.…,0,53,2022-03-29 17:36:19+00:00,2022-03-29
8,"""These people aren’t statistics. Their stories need to be told."" This story illustrates the agonizing missing persons’ tragedies that too many Indigenous people continue to face, and how technology can help suffering families find answers. https://t.co/rAwkgMKDii",489,96,2022-03-24 17:43:31+00:00,2022-03-24
9,"RT @XboxP3: I always find GDC to be such an inspiring time. The industry coming together to do one of the most important things we can do,…",0,108,2022-03-24 17:27:28+00:00,2022-03-24
10,"RT @BradSmi: Our support for Ukraine is steadfast. We’ve increased our humanitarian aid, continue to detect and defend against cyber threat…",0,156,2022-03-23 18:01:05+00:00,2022-03-23
11,This month at Microsoft we are recognizing and celebrating the enormous contributions of women across the world. Thank you Cynthia Per-Lee and @erinchapple for your insights on how each of us can take action to ensure greater opportunity for all. https://t.co/PgszzAhg7n,231,36,2022-03-22 20:15:56+00:00,2022-03-22
12,"RT @jared_spataro: The how, where, when &amp; even why of work is changing. We’re relying on data to inform our approach and are pleased to sha…",0,50,2022-03-16 20:53:17+00:00,2022-03-16
13,"RT @Microsoft: The Majorana, a near-century old theory until now. 
 
Learn how this key discovery puts Azure Quantum on the path to help so…",0,99,2022-03-14 17:22:50+00:00,2022-03-14
14,"Today, we’re introducing new capabilities to help customers protect identities, devices, applications, and data holistically across clouds. https://t.co/d7ipK8459t",625,81,2022-02-23 15:52:08+00:00,2022-02-23
15,"As @usbank's primary cloud provider, we will apply the power of Azure to help the company adapt and build new, secure experiences for employees and customers. https://t.co/HkBy3Yf6tY",412,55,2022-02-22 18:18:13+00:00,2022-02-22
16,RT @scottgu: This old design notebook of mine brings back fond memories. It has the original spec of what became https://t.co/71Yjwgl0jE. I…,0,143,2022-02-14 17:38:23+00:00,2022-02-14
17,"The climate crisis requires collective action, which is why we are joining together with participants of the Carbon Call as we work towards a Net Zero future. https://t.co/0Ykh9qBLW8",459,89,2022-02-10 17:37:59+00:00,2022-02-10
18,@theNAEng Thank you for this honor. I’m humbled to join this community which has made so many contributions to the field of engineering and to the world.,308,8,2022-02-10 02:13:52+00:00,2022-02-10
19,"We’re committed to taking a principled approach to our app stores, as we work to promote a more open app market that better serves users and creators alike. https://t.co/dlLIaC6o7n",1317,143,2022-02-09 19:19:48+00:00,2022-02-09
20,RT @jeffteper: Building the metaverse in the metaverse with Mesh for Teams with @akipman and our teams #MicrosoftTeams #MicrosoftMesh https…,0,135,2022-02-05 00:53:01+00:00,2022-02-05
