,Text,Likes,Retweets,Date-Time,Date
0,"We're excited to offer Google Career Certificate scholarships at no cost to all US businesses to help train employees in areas like IT support, data analytics, and a brand new certificate focused on e-commerce and digital marketing. #GrowWithGoogle 
https://t.co/9WgDDALwCD",1421,176,2022-05-02 16:35:17+00:00,2022-05-02
1,"It was so great to be back on Stanford campus:) Thank you Archana Sohmshetty and @StanfordGSB students for the great conversation -- always inspiring to spend time with rising leaders. 
https://t.co/vljhxagPCl https://t.co/vjvXYruMAe",1327,103,2022-04-28 04:47:35+00:00,2022-04-28
2,"Proud to welcome Tánaiste @LeoVaradkar, @IDAIreland to Google today and accept this recognition of our contributions to Ireland. We've been in Ireland for ~20 years, and we'll continue to work together to advance tech, support Irish businesses + more! https://t.co/Ge0fDYsZKD",2168,146,2022-04-28 02:35:19+00:00,2022-04-28
3,"RT @ThomasOrTK: With Media CDN, we’re using the same infrastructure that serves YouTube content across 200+ countries and territories to he…",0,65,2022-04-26 06:47:49+00:00,2022-04-26
4,"Proud of the progress we've made to help build a carbon-free future, including supporting our partners as they address climate change and building products that make it easier for people to make sustainable choices. #EarthDay 
https://t.co/ssLGCAFFkp",1403,133,2022-04-22 07:18:15+00:00,2022-04-22
5,"Excited to open our first product development center in Africa later this year. We're hiring engineers, product managers, UX designers and researchers in Nairobi who want to build helpful products and services for people in Africa and around the world. 
https://t.co/JaFZcWUbjv",5285,1958,2022-04-19 14:37:16+00:00,2022-04-19
6,"Happy Easter to all who celebrate around the world. Wishing you a day full of joy, gratitude and renewal - hope you're able to share it with those you love.",7375,334,2022-04-17 11:20:04+00:00,2022-04-17
7,"Chag Sameach to everyone observing Passover! I hope you'll enjoy the comforts of food, tradition, and community as you celebrate.",2540,118,2022-04-15 23:09:44+00:00,2022-04-15
8,"We're announcing plans to invest ~$9.5B in communities across the US and create 12K+ new jobs at Google in 2022. This builds on the hundreds of billions in economic activity Google helped provide last year for US businesses, creators, nonprofits and more. 
https://t.co/qMopLWGBcI",2356,275,2022-04-13 13:09:14+00:00,2022-04-13
9,"Proud to co-chair a new @WelcomeUS CEO Council with 30+ CEOs to help Afghans &amp; Ukrainians resettling in the US. It builds on Google's long-standing support for immigrants, Dreamers and refugees, and will help people through access to technology, jobs +more https://t.co/CxLOuJbBLO",1133,99,2022-04-12 13:03:33+00:00,2022-04-12
10,💯! https://t.co/HWnmFo64uH,4315,293,2022-04-06 16:54:13+00:00,2022-04-06
11,"Ramadan Mubarak! Wishing a peaceful Ramadan to everyone observing around the world. 🌙 
https://t.co/RKvBakNiVd",4757,382,2022-04-02 01:47:08+00:00,2022-04-02
12,"Meeting with Ukrainian entrepreneurs yesterday in Warsaw, Poland, I was humbled &amp; inspired by their determination to continue despite challenges they face. Proud to announce our @GoogleStartups Ukraine Support Fund to help startups in this difficult time. 
https://t.co/ghQri1khTt https://t.co/RyYDZK8VUw",2552,203,2022-03-30 19:49:24+00:00,2022-03-30
13,"@USAmbPoland @Google Thank you @USAmbPoland for your leadership at this critical time. Google is proud to have been in Poland for over 15 years, and I appreciated the discussion about our work in the country, as well as how the transatlantic community can come together to support refugees.",74,2,2022-03-30 18:33:47+00:00,2022-03-30
14,@alexanderdecroo @Google @googleeurope @google_belgium @ThGeerts @CCB_Belgium @certbe Thank you PM @alexanderdecroo for a productive discussion today on important topics that are top of mind for all of us. Our teams are working 24/7 to track and disrupt cyber threats and tackle disinformation.,68,6,2022-03-30 17:52:22+00:00,2022-03-30
15,"@ThierryBreton Thank you Commissioner @ThierryBreton for your time and the good discussion today about digital regulation. We take seriously our responsibility to tackle misinformation and provide reliable, trustworthy information to people in Ukraine and globally.",74,0,2022-03-30 17:37:18+00:00,2022-03-30
16,"@VeraJourova Thank you Vice-President @VeraJourova for the meeting and for your continued focus on tackling disinformation. We're addressing disinformation around the Ukraine war and in Central and Eastern Europe through partnerships, research, support for fact-checking networks and more.",96,6,2022-03-30 17:31:12+00:00,2022-03-30
17,@vonderleyen Many thanks President @vonderleyen. I am grateful for your leadership on the transatlantic partnership and on the response to the war in Ukraine. We'll continue to fight disinformation and support those affected by the conflict.,102,12,2022-03-30 17:25:13+00:00,2022-03-30
18,"Thank you PM @MorawieckiM, PM @JJansaSDS and the office of PM @P_Fiala for your time and insights after your visit to Kyiv. It's remarkable how you have brought global attention to the needs of refugees from the war in Ukraine and you can count on our support. https://t.co/8X9PBghd4i",2796,367,2022-03-29 17:59:20+00:00,2022-03-29
19,"While in Europe this week, I met with leaders to discuss the humanitarian crisis resulting from the war in Ukraine, and the need for continued partnership to fight misinformation in the region. Today we shared new initiatives to help these efforts. 
https://t.co/ZMekMvJb5l",1739,185,2022-03-29 11:57:01+00:00,2022-03-29
20,"@CasaReal @Google @GoogleES S.M. el Rey, I appreciated the chance to discuss Spain's digital economy and Google's work to support people affected by the war in Ukraine.",215,9,2022-03-28 12:56:39+00:00,2022-03-28
21,"@sanchezcastejon Gracias @sanchezcastejon for your time. We are proud to be a part of Spain's digital economy. #GrowWithGoogle has trained 1M Spaniards in digital skills and over the next 5 years, we'll invest over $650M in Spain, including our Málaga cybersecurity center.",300,55,2022-03-28 12:54:41+00:00,2022-03-28
22,"We appreciate the leadership of @POTUS and @vonderleyen on a new EU-US framework to strengthen both privacy protections and the EU-US relationship.

https://t.co/lkukRxeiCj",1035,101,2022-03-25 17:26:10+00:00,2022-03-25
