,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date
5,5,Twitter has a purpose and relevance that impacts the entire world. Deeply proud of our teams and inspired by the work that has never been more important. https://t.co/5iNTtJoEHf,23380,3538,2022-04-25 18:54:49+00:00,2022-04-25
8,8,"He’s both a passionate believer and intense critic of the service which is exactly what we need on @Twitter, and in the boardroom, to make us stronger in the long-term. Welcome Elon!",36323,2386,2022-04-05 12:32:51+00:00,2022-04-05
9,9,"I’m excited to share that we’re appointing @elonmusk to our board! Through conversations with Elon in recent weeks, it became clear to us that he would bring great value to our Board.",233145,21548,2022-04-05 12:32:48+00:00,2022-04-05
10,10,The consequences of this poll will be important. Please vote carefully. https://t.co/UDJIvznALB,44094,4265,2022-04-05 01:23:15+00:00,2022-04-05
11,11,"We have a responsibility – particularly during crisis – to:

- Proactively enforce our rules
- Preserve access to @Twitter
- Protect privacy+safety of people on our service
- Prevent efforts to manipulate public conversation
- Promote credible information https://t.co/8hDLpDmwE7",1053,137,2022-03-16 21:02:40+00:00,2022-03-16
16,16,Let’s do it! @leslieberland https://t.co/OCtS1XZyWf,4040,821,2022-01-20 16:45:46+00:00,2022-01-20
22,22,@btaylor @salesforce Congrats Bret!,125,4,2021-11-30 22:01:06+00:00,2021-11-30
23,23,#ThankYouJack https://t.co/zDwtHXltg3,61593,3666,2021-11-30 17:19:38+00:00,2021-11-30
24,24,"Deep gratitude for @jack and our entire team, and so much excitement for the future. Here’s the note I sent to the company. Thank you all for your trust and support 💙 https://t.co/eNatG1dqH6 https://t.co/liJmTbpYs1",65773,11442,2021-11-29 15:59:39+00:00,2021-11-29
38,38,"RT @ruchowdh: .@williams_jutta is guiding force on META, looking forward to this panel!",0,11,2021-03-04 19:06:51+00:00,2021-03-04
39,39,@mikecvet Will have to look through open tabs to figure out which doc triggered this tweet.,48,1,2021-03-04 03:14:54+00:00,2021-03-04
41,41,RT @TwitterIR: Tune in to Twitter's 2021 Virtual Analyst Day. Watch it here: https://t.co/wzifGrS0WJ or @TwitterIR https://t.co/6FIv8trZjP…,0,141,2021-02-25 17:17:37+00:00,2021-02-25
42,42,@mijuhan Welcome to the team!,5,0,2021-02-25 05:47:07+00:00,2021-02-25
56,56,"This year, I’ve been so grateful to everyone who put their own health at risk to protect and serve others.

At @Twitter, these heroes include teammates who have kept our data centers running. Thank you for all that you’ve done to sustain and grow our service #OneTeam https://t.co/wVzdPHQIAK",631,44,2020-12-16 17:09:33+00:00,2020-12-16
57,57,@joshuaseattle @nicktornow @Twitter Excited to collaborate with you and the @awscloud team,1,0,2020-12-16 01:49:10+00:00,2020-12-16
58,58,"Yes! Thrilled to strengthen our partnership with @awscloud and continue working towards an even better, lower-latency experience for people using Twitter all around the world! https://t.co/DYYamulG6x",172,22,2020-12-16 01:45:23+00:00,2020-12-16
68,68,"@mkruz Not easy to use, but can deal with RTs. Try searching for filter:follows -filter:replies include:nativeretweets &lt;search terms&gt;",14,0,2020-10-28 05:43:31+00:00,2020-10-28
69,69,Horrified to see whats happening in Nigeria #EndSARS,956,749,2020-10-21 05:43:32+00:00,2020-10-21
76,76,"“Their friendship was built on a bedrock foundation of shared values, and chiefly, I think, the value of a sober, neutral court ... These were guardians of a sacred institution, and they believed that institution must stand beyond politics.” Also, cc @jack https://t.co/pyupKVF9cP",75,1,2020-09-23 04:09:22+00:00,2020-09-23
86,86,"Amazing execution on an incredibly challenging re-architecture of our ads platform. I helped build the previous system, and couldn't be happier that our decisions from 6-8 years ago no longer hinder progress. Huge thanks to the team that worked on this.📈https://t.co/Nv2l9v4q4F",119,18,2020-07-08 16:27:55+00:00,2020-07-08
