,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date
0,0,Eid Mubarak to everyone celebrating around the world! Wishing you a joyous and peaceful holiday connecting with family and friends.,69778,7060,2022-05-01 23:11:44+00:00,2022-05-01
29,29,Celebrating incredible writer/director @sianheder and the amazingly talented @marleematlin as #CODAFilm was honored at #AFIAwards. #WomensHistoryMonth https://t.co/x9lcDL1B4S,4121,251,2022-03-12 21:20:57+00:00,2022-03-12
30,30,"As the east coast of Australia contends with the impact of historic flooding on a devastating scale, our hearts go out to everyone affected and Apple will be donating to relief efforts.",6778,432,2022-03-12 02:21:56+00:00,2022-03-12
31,31,".@Malala’s episode of Time to Walk on Fitness+ is an inspiring journey for us all and an important reminder of the power of education. As she says, “The work for education is always needed, but in this moment it is needed more than ever.”  https://t.co/x3VtyPQewh https://t.co/PNma2ZIrX0",2660,277,2022-03-12 00:22:27+00:00,2022-03-12
36,36,"Marking Steve’s birthday never gets any easier. In these challenging times, I’m remembering his call for us to use our time wisely, to pursue excellence, and to leave the world better than we found it. Today would have been his 67th birthday.",23289,2140,2022-02-25 01:00:06+00:00,2022-02-25
37,37,I am deeply concerned with the situation in Ukraine. We’re doing all we can for our teams there and will be supporting local humanitarian efforts. I am thinking of the people who are right now in harm’s way and joining all those calling for peace.,43512,3467,2022-02-25 00:26:03+00:00,2022-02-25
38,38,Park Chan-wook’s new #ShotOniPhone film plays with genre and masters cinematography while showing the beauty and strength of Korean culture. https://t.co/SVUCxA9zHy,1796,218,2022-02-22 01:31:14+00:00,2022-02-22
45,45,"We believe privacy is a fundamental human right, and the best technology is one that people can trust. At Apple, we’re constantly innovating to give our users more control over how their data is used and the choice with whom to share it. #DataPrivacyDay",10126,1032,2022-01-28 16:29:29+00:00,2022-01-28
62,62,"Wonderful to meet this exceptional group of developers who are this year’s @AppStore Awards winners! Your dedication to bringing new ideas to life has had a global impact, brought us together, helped us learn, have fun, and face complex challenges. https://t.co/ikqKRozvfY https://t.co/XHbRkIqBMz",3152,276,2021-12-02 22:19:30+00:00,2021-12-02
63,63,"Apple has partnered with @RED for 15 years to support its critical work to end AIDS in sub-Saharan Africa. Together we’re helping vulnerable communities access crucial support, providing lifesaving care to millions – which is now more urgent than ever. https://t.co/G01ewMWakY",2202,232,2021-12-01 17:20:59+00:00,2021-12-01
99,99,Congratulations to the cast and crew of @TedLasso on their remarkable Emmy wins including Outstanding Comedy Series! Believe! 👏,12493,637,2021-09-20 12:21:03+00:00,2021-09-20
146,146,"Since the first iPhone, we’ve partnered with Corning in Kentucky to create the most durable glass in a smartphone. Ceramic Shield on the iPhone 12 lineup takes US innovation to new levels &amp; we’re investing across America to find the next breakthrough. https://t.co/yPQlKHjTac",4277,395,2021-05-10 15:11:38+00:00,2021-05-10
147,147,Wishing a very happy #MothersDay to all the mothers in our lives — your strength and compassion only shined brighter through the tough year you’ve helped us through! ❤️,11963,819,2021-05-09 14:08:26+00:00,2021-05-09
150,150,"Teachers have a profound impact on students, including as role models and heroes. Proud to work with @HustonTillotson on this new initiative to increase the number of Black male teachers. Representation matters and will inspire the next generation. https://t.co/I2mzpEy0Bq",2675,306,2021-05-03 13:59:00+00:00,2021-05-03
179,179,"The Equality Act reflects in law the fact that every person deserves dignity &amp; respect, regardless of sexual orientation or gender identity—at work, at home and in the public square. We strongly support its passage, and we encourage Congress to come together and get it done.",5440,647,2021-02-23 16:18:37+00:00,2021-02-23
180,180,"Proud to support the advanced manufacturing at COPAN Diagnostics, helping them scale up to ship more than 15M COVID-19 test kits to hospitals across the US and employ hundreds of people in new jobs to meet the demand. https://t.co/SlIqBkT5Ki",2533,253,2021-02-22 15:54:35+00:00,2021-02-22
191,191,"A pioneer with purpose. Cicely Tyson’s talent redefined theater, film and television. Her courage, resilience and grace changed the entertainment landscape for generations to come. May she Rest In Power. https://t.co/F3kyDpklJ0",4844,425,2021-01-29 02:12:17+00:00,2021-01-29
192,192,"#DataPrivacyDay comes at a time of great challenge, underscoring the critical role privacy and security play in our lives—from safeguarding your health &amp; financial data to guarding against algorithms that perpetuate rampant misinformation. We need transparency and reform.",9691,1549,2021-01-28 14:59:25+00:00,2021-01-28
